s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-7.1521122E-005,-2.5681310E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1521378E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0754480E+000
 1.3367310E+000, 1.7319336E+001,-3.9305412E+000,-2.0764352E-003,-2.1086015E-001,-1.8969920E-003, 5.0838480E+000, 0.0000000E+000, 1.7507761E+001, 1.8257809E+001, 0.0000000E+000, 3.6184483E-004, 0.0000000E+000, 7.1498963E+002
 2.6717849E+000, 3.1535947E+001,-5.7898430E+000,-3.6985896E-003,-4.4555860E-001,-3.3493816E-003, 1.0122833E+001, 0.0000000E+000, 3.5397818E+001, 3.5416330E+001, 0.0000000E+000, 6.3521733E-004, 0.0000000E+000, 2.1540999E+003
 4.0027251E+000, 3.3239935E+001,-6.1691187E+000,-3.8625438E-003,-1.7937050E+000,-3.5010180E-003, 1.0201227E+001, 0.0000000E+000, 3.5485988E+001, 3.5470975E+001, 0.0000000E+000, 6.6366253E-004, 0.0000000E+000, 3.6011333E+003
 5.3403344E+000, 3.3247827E+001,-6.2651317E+000,-3.8787435E-003,-2.6461522E+000,-3.5082295E-003, 9.8242253E+000, 0.0000000E+000, 3.4154361E+001, 3.4153381E+001, 0.0000000E+000, 6.6570898E-004, 0.0000000E+000, 5.0013549E+003
 6.6676998E+000, 3.3355941E+001,-6.4228492E+000,-3.8364978E-003,-2.8699863E+000,-3.5530372E-003, 9.6886307E+000, 0.0000000E+000, 3.3747344E+001, 3.3744347E+001, 0.0000000E+000, 6.6585158E-004, 0.0000000E+000, 6.3715169E+003
 8.0086422E+000, 3.3272429E+001,-6.5225533E+000,-3.8535406E-003,-3.3950030E+000,-3.5364802E-003, 9.3997715E+000, 0.0000000E+000, 3.2769024E+001, 3.2747255E+001, 0.0000000E+000, 6.6586146E-004, 0.0000000E+000, 7.7150464E+003
 9.3411026E+000, 3.3313566E+001,-6.6689795E+000,-3.8716384E-003,-4.0613213E+000,-3.5207121E-003, 9.0827006E+000, 0.0000000E+000, 3.1662944E+001, 3.1658574E+001, 0.0000000E+000, 6.6586215E-004, 0.0000000E+000, 9.0046789E+003
 1.0668071E+001, 3.3475212E+001,-6.8624798E+000,-3.8303169E-003,-5.0244224E+000,-3.5592467E-003, 8.6842752E+000, 0.0000000E+000, 3.0263616E+001, 3.0265195E+001, 0.0000000E+000, 6.6586220E-004, 0.0000000E+000, 1.0232454E+004
