,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-06-06T10:44:54.230+02:00,   0.463E-01,   0.04629,   0.104E+02
      2,2022-06-06T10:44:54.333+02:00,   0.463E-01,   0.09258,   0.108E+02
      3,2022-06-06T10:44:54.474+02:00,   0.463E-01,   0.13887,   0.113E+02
      4,2022-06-06T10:44:54.569+02:00,   0.463E-01,   0.18516,   0.117E+02
      5,2022-06-06T10:44:54.663+02:00,   0.463E-01,   0.23146,   0.121E+02
      6,2022-06-06T10:44:54.838+02:00,   0.463E-01,   0.27775,   0.128E+02
      7,2022-06-06T10:44:54.971+02:00,   0.463E-01,   0.32404,   0.133E+02
      8,2022-06-06T10:44:55.092+02:00,   0.463E-01,   0.37033,   0.138E+02
      9,2022-06-06T10:44:55.240+02:00,   0.463E-01,   0.41662,   0.144E+02
     10,2022-06-06T10:44:55.357+02:00,   0.463E-01,   0.46291,   0.149E+02
     20,2022-06-06T10:44:56.525+02:00,   0.201E-01,   0.82914,   0.195E+02
     30,2022-06-06T10:44:57.837+02:00,   0.129E-01,   0.97893,   0.248E+02
     40,2022-06-06T10:44:59.134+02:00,   0.115E-01,   1.09572,   0.299E+02
     50,2022-06-06T10:45:00.421+02:00,   0.105E-01,   1.21485,   0.350E+02
     60,2022-06-06T10:45:01.738+02:00,   0.928E-02,   1.30888,   0.402E+02
     70,2022-06-06T10:45:02.862+02:00,   0.928E-02,   1.40172,   0.447E+02
     80,2022-06-06T10:45:03.869+02:00,   0.928E-02,   1.49457,   0.488E+02
     90,2022-06-06T10:45:04.901+02:00,   0.928E-02,   1.58741,   0.529E+02
    100,2022-06-06T10:45:05.923+02:00,   0.836E-02,   1.67747,   0.569E+02
    200,2022-06-06T10:45:16.260+02:00,   0.836E-02,   2.51303,   0.982E+02
    300,2022-06-06T10:45:26.691+02:00,   0.836E-02,   3.34859,   0.140E+03
    400,2022-06-06T10:45:37.180+02:00,   0.886E-02,   4.21531,   0.182E+03
    500,2022-06-06T10:45:47.518+02:00,   0.101E-01,   5.13196,   0.223E+03
    600,2022-06-06T10:45:58.125+02:00,   0.848E-02,   6.04214,   0.265E+03
    700,2022-06-06T10:46:09.663+02:00,   0.908E-02,   6.99263,   0.311E+03
    800,2022-06-06T10:46:20.202+02:00,   0.987E-02,   7.92966,   0.353E+03
    900,2022-06-06T10:46:32.347+02:00,   0.931E-02,   8.83818,   0.401E+03
