,,s,s,s
   1000,2022-06-06T10:46:43.132+02:00,   0.841E-02,   9.75196,   0.444E+03
   1100,2022-06-06T10:46:53.706+02:00,   0.966E-02,  10.68739,   0.486E+03
   1200,2022-06-06T10:47:03.968+02:00,   0.860E-02,  11.62526,   0.527E+03
   1300,2022-06-06T10:47:14.396+02:00,   0.957E-02,  12.57721,   0.568E+03
   1400,2022-06-06T10:47:24.711+02:00,   0.970E-02,  13.50116,   0.610E+03
   1500,2022-06-06T10:47:34.965+02:00,   0.101E-01,  14.48430,   0.651E+03
   1600,2022-06-06T10:47:45.216+02:00,   0.984E-02,  15.46640,   0.692E+03
   1700,2022-06-06T10:47:55.610+02:00,   0.104E-01,  16.41184,   0.733E+03
   1800,2022-06-06T10:48:05.944+02:00,   0.933E-02,  17.36812,   0.774E+03
   1900,2022-06-06T10:48:16.176+02:00,   0.101E-01,  18.34913,   0.815E+03
   2000,2022-06-06T10:48:26.477+02:00,   0.109E-01,  19.41432,   0.857E+03
   2100,2022-06-06T10:48:36.804+02:00,   0.950E-02,  20.47603,   0.898E+03
   2200,2022-06-06T10:48:47.062+02:00,   0.107E-01,  21.54652,   0.939E+03
   2300,2022-06-06T10:48:57.352+02:00,   0.114E-01,  22.58381,   0.980E+03
   2400,2022-06-06T10:49:07.647+02:00,   0.991E-02,  23.68652,   0.102E+04
   2500,2022-06-06T10:49:17.976+02:00,   0.107E-01,  24.69842,   0.106E+04
   2600,2022-06-06T10:49:28.269+02:00,   0.108E-01,  25.68641,   0.110E+04
   2700,2022-06-06T10:49:38.686+02:00,   0.114E-01,  26.78858,   0.115E+04
   2800,2022-06-06T10:49:48.963+02:00,   0.957E-02,  27.88342,   0.119E+04
   2900,2022-06-06T10:49:59.205+02:00,   0.112E-01,  28.93375,   0.123E+04
   3000,2022-06-06T10:50:09.620+02:00,   0.937E-02,  29.94738,   0.127E+04
   3100,2022-06-06T10:50:19.861+02:00,   0.972E-02,  31.00790,   0.131E+04
   3200,2022-06-06T10:50:30.034+02:00,   0.103E-01,  32.05893,   0.135E+04
   3300,2022-06-06T10:50:40.462+02:00,   0.109E-01,  33.13160,   0.139E+04
   3400,2022-06-06T10:50:50.665+02:00,   0.118E-01,  34.24325,   0.143E+04
   3500,2022-06-06T10:51:00.929+02:00,   0.112E-01,  35.36134,   0.147E+04
   3600,2022-06-06T10:51:11.301+02:00,   0.107E-01,  36.41293,   0.152E+04
   3700,2022-06-06T10:51:21.535+02:00,   0.113E-01,  37.48956,   0.156E+04
   3800,2022-06-06T10:51:31.702+02:00,   0.110E-01,  38.63805,   0.160E+04
   3900,2022-06-06T10:51:42.039+02:00,   0.102E-01,  39.70822,   0.164E+04
   4000,2022-06-06T10:51:52.239+02:00,   0.119E-01,  40.79992,   0.168E+04
   4100,2022-06-06T10:52:02.572+02:00,   0.976E-02,  41.89212,   0.172E+04
   4200,2022-06-06T10:52:12.823+02:00,   0.117E-01,  43.01922,   0.176E+04
   4300,2022-06-06T10:52:23.114+02:00,   0.110E-01,  44.09067,   0.180E+04
   4400,2022-06-06T10:52:33.362+02:00,   0.110E-01,  45.18737,   0.184E+04
   4500,2022-06-06T10:52:43.670+02:00,   0.105E-01,  46.25946,   0.188E+04
   4600,2022-06-06T10:52:53.900+02:00,   0.978E-02,  47.28015,   0.193E+04
   4700,2022-06-06T10:53:04.112+02:00,   0.101E-01,  48.35015,   0.197E+04
   4800,2022-06-06T10:53:14.316+02:00,   0.118E-01,  49.39342,   0.201E+04
   4900,2022-06-06T10:53:24.524+02:00,   0.116E-01,  50.45956,   0.205E+04
   5000,2022-06-06T10:53:34.765+02:00,   0.101E-01,  51.50309,   0.209E+04
   5100,2022-06-06T10:53:45.053+02:00,   0.105E-01,  52.55042,   0.213E+04
   5200,2022-06-06T10:53:55.233+02:00,   0.102E-01,  53.61042,   0.217E+04
   5300,2022-06-06T10:54:05.412+02:00,   0.111E-01,  54.66313,   0.221E+04
   5400,2022-06-06T10:54:15.676+02:00,   0.118E-01,  55.81194,   0.225E+04
   5500,2022-06-06T10:54:25.906+02:00,   0.103E-01,  56.85103,   0.229E+04
   5600,2022-06-06T10:54:36.174+02:00,   0.108E-01,  57.91760,   0.233E+04
   5700,2022-06-06T10:54:46.377+02:00,   0.117E-01,  59.06295,   0.237E+04
   5800,2022-06-06T10:54:56.630+02:00,   0.973E-02,  60.16530,   0.242E+04
   5900,2022-06-06T10:55:06.845+02:00,   0.102E-01,  61.26963,   0.246E+04
   6000,2022-06-06T10:55:17.064+02:00,   0.123E-01,  62.38366,   0.250E+04
   6100,2022-06-06T10:55:27.313+02:00,   0.112E-01,  63.51175,   0.254E+04
   6200,2022-06-06T10:55:37.548+02:00,   0.106E-01,  64.57313,   0.258E+04
   6300,2022-06-06T10:55:47.783+02:00,   0.112E-01,  65.62212,   0.262E+04
   6400,2022-06-06T10:55:57.983+02:00,   0.102E-01,  66.68951,   0.266E+04
   6500,2022-06-06T10:56:08.190+02:00,   0.107E-01,  67.82839,   0.270E+04
   6600,2022-06-06T10:56:18.405+02:00,   0.112E-01,  68.93730,   0.274E+04
   6700,2022-06-06T10:56:28.575+02:00,   0.122E-01,  70.00257,   0.278E+04
   6800,2022-06-06T10:56:38.862+02:00,   0.985E-02,  71.09994,   0.282E+04
   6900,2022-06-06T10:56:49.038+02:00,   0.114E-01,  72.14092,   0.287E+04
   7000,2022-06-06T10:56:59.251+02:00,   0.113E-01,  73.26163,   0.291E+04
   7100,2022-06-06T10:57:09.517+02:00,   0.111E-01,  74.37004,   0.295E+04
   7200,2022-06-06T10:57:19.751+02:00,   0.106E-01,  75.39262,   0.299E+04
   7300,2022-06-06T10:57:29.923+02:00,   0.111E-01,  76.47381,   0.303E+04
   7400,2022-06-06T10:57:40.186+02:00,   0.107E-01,  77.52345,   0.307E+04
   7500,2022-06-06T10:57:50.395+02:00,   0.113E-01,  78.56334,   0.311E+04
   7600,2022-06-06T10:58:00.618+02:00,   0.106E-01,  79.70783,   0.315E+04
   7700,2022-06-06T10:58:10.816+02:00,   0.110E-01,  80.84331,   0.319E+04
   7800,2022-06-06T10:58:21.106+02:00,   0.105E-01,  81.94140,   0.323E+04
   7900,2022-06-06T10:58:31.328+02:00,   0.114E-01,  83.06786,   0.327E+04
   8000,2022-06-06T10:58:41.593+02:00,   0.108E-01,  84.15447,   0.332E+04
   8100,2022-06-06T10:58:51.867+02:00,   0.110E-01,  85.26299,   0.336E+04
   8200,2022-06-06T10:59:02.049+02:00,   0.119E-01,  86.40900,   0.340E+04
   8300,2022-06-06T10:59:12.355+02:00,   0.100E-01,  87.52181,   0.344E+04
   8400,2022-06-06T10:59:22.723+02:00,   0.972E-02,  88.59595,   0.348E+04
   8500,2022-06-06T10:59:33.006+02:00,   0.118E-01,  89.65271,   0.352E+04
   8600,2022-06-06T10:59:43.278+02:00,   0.110E-01,  90.81645,   0.356E+04
   8700,2022-06-06T10:59:53.574+02:00,   0.101E-01,  91.94303,   0.360E+04
   8800,2022-06-06T11:00:03.838+02:00,   0.102E-01,  93.08516,   0.364E+04
   8900,2022-06-06T11:00:14.075+02:00,   0.117E-01,  94.15758,   0.368E+04
   9000,2022-06-06T11:00:24.319+02:00,   0.126E-01,  95.28714,   0.373E+04
   9100,2022-06-06T11:00:34.616+02:00,   0.111E-01,  96.39894,   0.377E+04
   9200,2022-06-06T11:00:44.806+02:00,   0.109E-01,  97.53661,   0.381E+04
   9300,2022-06-06T11:00:54.992+02:00,   0.120E-01,  98.64752,   0.385E+04
   9400,2022-06-06T11:01:05.270+02:00,   0.112E-01,  99.76276,   0.389E+04
   9500,2022-06-06T11:01:15.585+02:00,   0.112E-01, 100.88726,   0.393E+04
   9600,2022-06-06T11:01:25.807+02:00,   0.117E-01, 102.00122,   0.397E+04
   9700,2022-06-06T11:01:36.097+02:00,   0.109E-01, 103.11298,   0.401E+04
   9800,2022-06-06T11:01:46.393+02:00,   0.104E-01, 104.24350,   0.405E+04
   9900,2022-06-06T11:01:56.762+02:00,   0.100E-01, 105.36048,   0.410E+04
  10000,2022-06-06T11:02:07.021+02:00,   0.118E-01, 106.47985,   0.414E+04
  10100,2022-06-06T11:02:17.210+02:00,   0.126E-01, 107.66146,   0.418E+04
  10200,2022-06-06T11:02:27.522+02:00,   0.120E-01, 108.83548,   0.422E+04
  10300,2022-06-06T11:02:37.855+02:00,   0.101E-01, 109.91334,   0.426E+04
  10400,2022-06-06T11:02:48.044+02:00,   0.111E-01, 110.97946,   0.430E+04
  10500,2022-06-06T11:02:58.341+02:00,   0.108E-01, 112.03677,   0.434E+04
  10600,2022-06-06T11:03:08.473+02:00,   0.106E-01, 113.13412,   0.438E+04
  10700,2022-06-06T11:03:18.673+02:00,   0.115E-01, 114.20885,   0.442E+04
  10800,2022-06-06T11:03:28.931+02:00,   0.105E-01, 115.26094,   0.446E+04
  10900,2022-06-06T11:03:39.220+02:00,   0.112E-01, 116.35348,   0.450E+04
  11000,2022-06-06T11:03:49.413+02:00,   0.120E-01, 117.44476,   0.455E+04
  11100,2022-06-06T11:03:59.761+02:00,   0.112E-01, 118.58348,   0.459E+04
  11200,2022-06-06T11:04:10.018+02:00,   0.101E-01, 119.63806,   0.463E+04
  11236,2022-06-06T11:04:13.699+02:00,   0.441E-02, 120.00000,   0.464E+04
