s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s
Time,"T-1","V-1","T-2","V-2","T-3","V-3","T-4","V-4","T-5","V-5","T-6","V-6","T-7","V-7","T-8","V-8","T-9","V-9","T-10","V-10","T-11","V-11","T-12","V-12","T-13","V-13","T-14","V-14","T-15","V-15","T-16","V-16","T-17","V-17"
 0.0000000E+000, 2.0000000E+001, 3.7817402E-003, 2.0000000E+001, 9.4756340E-003, 2.0000000E+001, 4.0569399E-003, 2.0000000E+001, 3.8948375E-004, 2.0000000E+001, 6.1498287E-003, 2.0000000E+001, 6.2855519E-003, 2.0000000E+001, 4.1345172E-003, 2.0000000E+001, 9.5213566E-003, 2.0000000E+001, 8.1862431E-003, 2.0000000E+001, 4.5107108E-003, 2.0000000E+001, 1.0303454E-002, 2.0000000E+001, 8.1185274E-003, 2.0000000E+001, 8.6018875E-003, 2.0000000E+001, 6.8971762E-003, 2.0000000E+001, 3.8847160E-003, 2.0000000E+001, 5.8820645E-003, 2.0000000E+001, 1.0300962E-002
 1.3381329E+000, 5.3728223E+002, 3.4490896E-001, 5.0448419E+002, 9.0493965E-001, 4.6405676E+002, 1.2734649E+000, 4.2932910E+002, 1.4979495E+000, 4.0120251E+002, 1.6238133E+000, 3.6547251E+002, 1.6798273E+000, 3.2008098E+002, 1.6866703E+000, 2.6824824E+002, 1.6582570E+000, 2.2346470E+002, 1.6010809E+000, 1.8187545E+002, 1.5310675E+000, 1.5612122E+002, 1.4556249E+000, 1.3048045E+002, 1.3611299E+000, 1.1530578E+002, 1.2604195E+000, 1.0392724E+002, 1.1756841E+000, 9.4648340E+001, 1.0903077E+000, 8.6809581E+001, 9.9824998E-001, 7.9559801E+001, 9.0993759E-001
 2.6729199E+000, 7.9909289E+002, 6.0900136E-001, 8.7496283E+002, 1.7173516E+000, 9.6288560E+002, 2.6356427E+000, 1.0313910E+003, 3.3428082E+000, 1.0897664E+003, 3.9112506E+000, 1.1422611E+003, 4.4025464E+000, 1.1882862E+003, 4.8391759E+000, 1.2228953E+003, 5.2387350E+000, 1.2260609E+003, 5.5977945E+000, 1.1967828E+003, 5.8874084E+000, 1.1366029E+003, 6.1056043E+000, 1.0627458E+003, 6.2760388E+000, 9.8120869E+002, 6.3952306E+000, 8.9740440E+002, 6.4600865E+000, 8.1451342E+002, 6.4917290E+000, 7.3667021E+002, 6.5060164E+000, 6.6633612E+002, 6.4932194E+000
 4.0027646E+000, 8.1209175E+002, 6.4192832E-001, 8.9408127E+002, 1.7060750E+000, 9.8888304E+002, 2.6199199E+000, 1.0682496E+003, 3.3481107E+000, 1.1322514E+003, 3.9279060E+000, 1.1790773E+003, 4.4239540E+000, 1.2064699E+003, 4.8538270E+000, 1.1959729E+003, 5.2019684E+000, 1.1429114E+003, 5.4569829E+000, 1.0664268E+003, 5.6466370E+000, 9.7295343E+002, 5.7858905E+000, 8.7559235E+002, 5.8574820E+000, 7.8478382E+002, 5.8823007E+000, 7.0557470E+002, 5.8832916E+000, 6.3567625E+002, 5.8664648E+000, 5.6965038E+002, 5.8277031E+000, 5.1117568E+002, 5.7452649E+000
 5.3367124E+000, 8.0070614E+002, 6.0732569E-001, 8.8167404E+002, 1.6776673E+000, 9.7233595E+002, 2.5954397E+000, 1.0505957E+003, 3.3021527E+000, 1.1139265E+003, 3.8651592E+000, 1.1631186E+003, 4.3404027E+000, 1.1806502E+003, 4.7437851E+000, 1.1498879E+003, 5.0668744E+000, 1.0690997E+003, 5.2915746E+000, 9.6344726E+002, 5.4291890E+000, 8.4499199E+002, 5.4997272E+000, 7.4050007E+002, 5.5148544E+000, 6.4841420E+002, 5.4762635E+000, 5.7108034E+002, 5.3888499E+000, 5.0293644E+002, 5.2757168E+000, 4.4774970E+002, 5.1616416E+000, 4.0318164E+002, 5.0557096E+000
 6.6714797E+000, 8.7469796E+002, 6.4397623E-001, 9.3665382E+002, 1.7060633E+000, 1.0014197E+003, 2.5481487E+000, 1.0527250E+003, 3.2028376E+000, 1.0885583E+003, 3.7312631E+000, 1.1054839E+003, 4.1695518E+000, 1.0821654E+003, 4.5099483E+000, 1.0226825E+003, 4.7396456E+000, 9.3391702E+002, 4.8550364E+000, 8.2800105E+002, 4.8546585E+000, 7.1420013E+002, 4.7858224E+000, 6.0387549E+002, 4.6444847E+000, 5.1176963E+002, 4.4532043E+000, 4.4087768E+002, 4.2763162E+000, 3.8703270E+002, 4.1470538E+000, 3.4397168E+002, 4.0489103E+000, 3.0932804E+002, 3.9730162E+000
 8.0020829E+000, 8.0138426E+002, 5.8531894E-001, 8.9879298E+002, 1.6393317E+000, 1.0045633E+003, 2.5541136E+000, 1.0806555E+003, 3.2648202E+000, 1.1272731E+003, 3.8209455E+000, 1.1405185E+003, 4.2589141E+000, 1.1029519E+003, 4.5819734E+000, 1.0174131E+003, 4.8025288E+000, 9.0657744E+002, 4.9429968E+000, 8.0059695E+002, 5.0110038E+000, 7.1123419E+002, 5.0140899E+000, 6.3679279E+002, 4.9897297E+000, 5.7047565E+002, 4.9598851E+000, 5.0739667E+002, 4.9040606E+000, 4.4299397E+002, 4.8179082E+000, 3.8819668E+002, 4.7009615E+000, 3.3887613E+002, 4.5235391E+000
 9.3411022E+000, 8.3809891E+002, 6.1169985E-001, 9.2101956E+002, 1.6726727E+000, 1.0139655E+003, 2.5752546E+000, 1.0882613E+003, 3.2630773E+000, 1.1359708E+003, 3.8034616E+000, 1.1465854E+003, 4.2413171E+000, 1.1062757E+003, 4.5779268E+000, 1.0295183E+003, 4.8280995E+000, 9.3715355E+002, 5.0089253E+000, 8.4128952E+002, 5.1184222E+000, 7.5195472E+002, 5.1743031E+000, 6.6940908E+002, 5.1782147E+000, 5.8906405E+002, 5.1256230E+000, 5.2077138E+002, 5.0452008E+000, 4.6629267E+002, 4.9630704E+000, 4.2382433E+002, 4.8663685E+000, 3.8679784E+002, 4.7414025E+000
 1.0667460E+001, 8.7705813E+002, 6.4041920E-001, 9.5314162E+002, 1.6694048E+000, 1.0255030E+003, 2.5593023E+000, 1.0919075E+003, 3.2424871E+000, 1.1310400E+003, 3.7850448E+000, 1.1337992E+003, 4.2202338E+000, 1.0895562E+003, 4.5337638E+000, 9.9544874E+002, 4.7327811E+000, 8.7647864E+002, 4.8356613E+000, 7.6277565E+002, 4.8769506E+000, 6.5091233E+002, 4.8606988E+000, 5.6484942E+002, 4.7863192E+000, 4.9228664E+002, 4.6849954E+000, 4.3582130E+002, 4.5720679E+000, 3.8486357E+002, 4.4304998E+000, 3.4317113E+002, 4.2765968E+000, 3.0890028E+002, 4.1245482E+000
 1.2000845E+001, 8.8653179E+002, 6.0803416E-001, 9.5296397E+002, 1.6645668E+000, 1.0208873E+003, 2.5262001E+000, 1.0572406E+003, 3.1801950E+000, 1.0575841E+003, 3.6737844E+000, 1.0184521E+003, 4.0338567E+000, 9.5041794E+002, 4.2858329E+000, 8.6950958E+002, 4.4545497E+000, 7.8937846E+002, 4.5637912E+000, 7.1032510E+002, 4.6228829E+000, 6.3820272E+002, 4.6373552E+000, 5.7607333E+002, 4.6156478E+000, 5.0424568E+002, 4.5754669E+000, 4.5674681E+002, 4.5205010E+000, 4.0764668E+002, 4.4471597E+000, 3.7502416E+002, 4.3370149E+000, 3.4319742E+002, 4.2174587E+000
 1.3335786E+001, 9.8150169E+002, 7.7539370E-001, 1.0576519E+003, 1.7731912E+000, 1.1127619E+003, 2.5925891E+000, 1.1458591E+003, 3.2497989E+000, 1.1561937E+003, 3.7444867E+000, 1.1166057E+003, 4.1088138E+000, 9.8655874E+002, 4.3446871E+000, 8.4060651E+002, 4.3308890E+000, 7.1144033E+002, 4.1741061E+000, 6.1553625E+002, 4.0773616E+000, 5.4954737E+002, 4.0429319E+000, 4.9313976E+002, 4.0520684E+000, 4.5220457E+002, 4.0867590E+000, 4.1022086E+002, 4.0999197E+000, 3.7897844E+002, 4.0757635E+000, 3.5127603E+002, 4.0460101E+000, 3.3184208E+002, 4.0295825E+000
 1.4670565E+001, 8.9537471E+002, 6.1336209E-001, 9.7553362E+002, 1.6925799E+000, 1.0495287E+003, 2.5819279E+000, 1.1015208E+003, 3.2573538E+000, 1.1390364E+003, 3.7898680E+000, 1.1503024E+003, 4.1963855E+000, 1.1194020E+003, 4.4950608E+000, 1.0363854E+003, 4.6950728E+000, 9.3063574E+002, 4.7963783E+000, 8.1156089E+002, 4.8157470E+000, 7.0700648E+002, 4.7783485E+000, 6.1058317E+002, 4.7030334E+000, 5.3348127E+002, 4.5947712E+000, 4.6278582E+002, 4.4550319E+000, 4.0571181E+002, 4.2956012E+000, 3.5860352E+002, 4.1169700E+000, 3.2223680E+002, 3.9288320E+000
 1.6005309E+001, 1.0217373E+003, 7.0687972E-001, 1.0752353E+003, 1.7511195E+000, 1.1130364E+003, 2.5801742E+000, 1.1306876E+003, 3.1996948E+000, 1.1171869E+003, 3.6804364E+000, 1.0415365E+003, 3.9987477E+000, 9.2016990E+002, 4.1611514E+000, 7.9403445E+002, 4.2342912E+000, 6.9197657E+002, 4.2604581E+000, 6.1771171E+002, 4.2755106E+000, 5.5950845E+002, 4.2819448E+000, 5.1347915E+002, 4.2596053E+000, 4.7058921E+002, 4.2153579E+000, 4.3397795E+002, 4.1484097E+000, 3.9401260E+002, 4.0560185E+000, 3.5842989E+002, 3.9602488E+000, 3.2940597E+002, 3.8708146E+000
 1.7335002E+001, 9.6193415E+002, 6.9532044E-001, 1.0311568E+003, 1.7348216E+000, 1.0934961E+003, 2.5666732E+000, 1.1287834E+003, 3.1834217E+000, 1.1399979E+003, 3.6658439E+000, 1.1049120E+003, 4.0314795E+000, 1.0151284E+003, 4.2732780E+000, 9.0698260E+002, 4.4174688E+000, 8.0120789E+002, 4.4932044E+000, 7.1105588E+002, 4.5042493E+000, 6.3122067E+002, 4.4616735E+000, 5.6199027E+002, 4.3929835E+000, 5.0733355E+002, 4.3118037E+000, 4.5936468E+002, 4.2126205E+000, 4.1959443E+002, 4.1020250E+000, 3.8386083E+002, 3.9792968E+000, 3.5382638E+002, 3.8458207E+000
 1.8674147E+001, 1.0208441E+003, 6.9811719E-001, 1.0546739E+003, 1.7221901E+000, 1.0584684E+003, 2.4859442E+000, 1.0372142E+003, 3.0000079E+000, 9.9183481E+002, 3.3534022E+000, 9.3006313E+002, 3.6064734E+000, 8.4234374E+002, 3.7614585E+000, 7.4046916E+002, 3.7939530E+000, 6.4730705E+002, 3.7245420E+000, 5.6703741E+002, 3.6442866E+000, 4.9823952E+002, 3.5945681E+000, 4.4749226E+002, 3.5533354E+000, 4.0779675E+002, 3.4799621E+000, 3.7857918E+002, 3.4147025E+000, 3.5504544E+002, 3.4069172E+000, 3.3342789E+002, 3.4219531E+000, 3.1223578E+002, 3.4100102E+000
 2.0000370E+001, 9.8880506E+002, 6.9093488E-001, 1.0413397E+003, 1.7485325E+000, 1.0899047E+003, 2.5482818E+000, 1.1084270E+003, 3.0996703E+000, 1.0558939E+003, 3.4342749E+000, 9.5477618E+002, 3.5756285E+000, 8.4287508E+002, 3.6471292E+000, 7.4068276E+002, 3.6743664E+000, 6.4620223E+002, 3.6601651E+000, 5.5796064E+002, 3.5913927E+000, 4.7961263E+002, 3.4434302E+000, 4.1899514E+002, 3.2472318E+000, 3.7205810E+002, 3.1099588E+000, 3.4253403E+002, 3.0523671E+000, 3.1659228E+002, 3.0278261E+000, 2.9878962E+002, 3.0006081E+000, 2.8138475E+002, 2.9481085E+000
 2.1335081E+001, 9.9244012E+002, 6.7533427E-001, 1.0483213E+003, 1.7428722E+000, 1.1028559E+003, 2.5703772E+000, 1.1363866E+003, 3.1696884E+000, 1.1293399E+003, 3.6138607E+000, 1.0696161E+003, 3.9070035E+000, 9.7874913E+002, 4.0844691E+000, 8.7993847E+002, 4.1910806E+000, 7.9130213E+002, 4.2533730E+000, 7.1035407E+002, 4.2741504E+000, 6.4281314E+002, 4.2454312E+000, 5.8167677E+002, 4.1957498E+000, 5.2647046E+002, 4.1136346E+000, 4.6677470E+002, 3.9767557E+000, 4.1977812E+002, 3.8075924E+000, 3.7432937E+002, 3.6155239E+000, 3.4560228E+002, 3.4118491E+000
 2.2675365E+001, 9.9571283E+002, 7.1246769E-001, 1.0500148E+003, 1.7437304E+000, 1.0838661E+003, 2.5169930E+000, 1.0953572E+003, 3.0764389E+000, 1.0839943E+003, 3.5023815E+000, 1.0418382E+003, 3.8383653E+000, 9.6179153E+002, 4.0513141E+000, 8.4596748E+002, 4.1359140E+000, 7.2868648E+002, 4.1271052E+000, 6.2012425E+002, 4.0320162E+000, 5.4003076E+002, 3.9016634E+000, 4.6807445E+002, 3.7836088E+000, 4.0968949E+002, 3.6480645E+000, 3.6194862E+002, 3.4913336E+000, 3.2851444E+002, 3.3470274E+000, 3.0189498E+002, 3.2087678E+000, 2.8125640E+002, 3.0682276E+000
 2.4004540E+001, 1.1047987E+003, 7.9880465E-001, 1.1344846E+003, 1.7565052E+000, 1.1531225E+003, 2.5246276E+000, 1.1622987E+003, 3.0885472E+000, 1.1409935E+003, 3.4936286E+000, 1.0846864E+003, 3.7651847E+000, 9.9620269E+002, 3.9558186E+000, 8.9182280E+002, 4.0680176E+000, 7.8747386E+002, 4.1125080E+000, 6.9271123E+002, 4.0984154E+000, 6.0623798E+002, 4.0211730E+000, 5.3951397E+002, 3.9120733E+000, 4.8325128E+002, 3.8068439E+000, 4.3931214E+002, 3.7213790E+000, 4.0193137E+002, 3.6395961E+000, 3.7104753E+002, 3.5339156E+000, 3.4387058E+002, 3.4068878E+000
 2.5338956E+001, 1.0676625E+003, 7.2046786E-001, 1.1123003E+003, 1.7727513E+000, 1.1520134E+003, 2.5643746E+000, 1.1783145E+003, 3.1353016E+000, 1.1757856E+003, 3.5738744E+000, 1.1284821E+003, 3.9055460E+000, 1.0484594E+003, 4.1108732E+000, 9.4351989E+002, 4.2209522E+000, 8.3120948E+002, 4.2407241E+000, 7.2555043E+002, 4.1902587E+000, 6.3279639E+002, 4.0992173E+000, 5.5197725E+002, 3.9755821E+000, 4.8746943E+002, 3.8334155E+000, 4.3439118E+002, 3.6844937E+000, 3.9393470E+002, 3.5336948E+000, 3.5739919E+002, 3.4144068E+000, 3.3362120E+002, 3.3473868E+000
 2.6669676E+001, 1.0677810E+003, 7.4077280E-001, 1.0861267E+003, 1.6535882E+000, 1.0823298E+003, 2.3623834E+000, 1.0616349E+003, 2.8683528E+000, 1.0280409E+003, 3.2255380E+000, 9.8091930E+002, 3.4714349E+000, 9.1305892E+002, 3.6279872E+000, 8.2420806E+002, 3.7145277E+000, 7.3023046E+002, 3.7378781E+000, 6.4649387E+002, 3.7008103E+000, 5.7615754E+002, 3.6179217E+000, 5.2515153E+002, 3.4893779E+000, 4.8680143E+002, 3.3878845E+000, 4.5501624E+002, 3.3603520E+000, 4.2487185E+002, 3.3807180E+000, 4.0151729E+002, 3.3758347E+000, 3.7697203E+002, 3.3453561E+000
 2.8000135E+001, 1.0821500E+003, 6.8216863E-001, 1.1159651E+003, 1.6653351E+000, 1.1473108E+003, 2.4227247E+000, 1.1571249E+003, 2.9870994E+000, 1.1311887E+003, 3.3935184E+000, 1.0631873E+003, 3.6614540E+000, 9.5339501E+002, 3.8282975E+000, 8.2911417E+002, 3.8994976E+000, 7.2066165E+002, 3.8986030E+000, 6.3118452E+002, 3.8480293E+000, 5.5622906E+002, 3.7558070E+000, 4.9537112E+002, 3.6294951E+000, 4.4645997E+002, 3.4682444E+000, 4.0699492E+002, 3.2983362E+000, 3.7406524E+002, 3.1686862E+000, 3.4697607E+002, 3.0766952E+000, 3.2594894E+002, 3.0108848E+000
 2.9334105E+001, 1.0515849E+003, 7.4887225E-001, 1.0978115E+003, 1.6802584E+000, 1.1051211E+003, 2.3542290E+000, 1.0644583E+003, 2.8164695E+000, 9.7052992E+002, 3.1222566E+000, 8.3710551E+002, 3.2186815E+000, 6.9810065E+002, 3.1393534E+000, 5.8640191E+002, 2.9904829E+000, 5.0637842E+002, 2.8575972E+000, 4.5544214E+002, 2.7903707E+000, 4.2588078E+002, 2.7537191E+000, 4.0239484E+002, 2.7464529E+000, 3.8470315E+002, 2.7491032E+000, 3.6752339E+002, 2.7618837E+000, 3.5064095E+002, 2.8106537E+000, 3.3806250E+002, 2.8447097E+000, 3.2677539E+002, 2.8688952E+000
 3.0676347E+001, 1.0428865E+003, 7.0243640E-001, 1.1103061E+003, 1.6455010E+000, 1.1630558E+003, 2.4095857E+000, 1.1815919E+003, 2.9529245E+000, 1.1566438E+003, 3.3383179E+000, 1.0766625E+003, 3.6117220E+000, 9.6388832E+002, 3.7704173E+000, 8.4334029E+002, 3.8303989E+000, 7.3641944E+002, 3.8402463E+000, 6.3871006E+002, 3.7892611E+000, 5.5389024E+002, 3.7120825E+000, 4.8882980E+002, 3.5837571E+000, 4.3504235E+002, 3.4153456E+000, 3.9160513E+002, 3.2584881E+000, 3.6382285E+002, 3.1533544E+000, 3.3990493E+002, 3.0994231E+000, 3.2477423E+002, 3.0567346E+000
 3.2007737E+001, 1.0924946E+003, 8.1959579E-001, 1.1124597E+003, 1.6855454E+000, 1.0860547E+003, 2.3321372E+000, 1.0358903E+003, 2.7755041E+000, 9.7496795E+002, 3.0820333E+000, 8.9238197E+002, 3.2841351E+000, 8.0561324E+002, 3.4057714E+000, 7.2383249E+002, 3.4775707E+000, 6.5846466E+002, 3.5106006E+000, 5.9808332E+002, 3.5301864E+000, 5.4913577E+002, 3.5322730E+000, 5.0052558E+002, 3.5023398E+000, 4.6302789E+002, 3.4699859E+000, 4.2801678E+002, 3.4189959E+000, 3.9519776E+002, 3.3293049E+000, 3.6277464E+002, 3.2050647E+000, 3.3619525E+002, 3.0815372E+000
 3.3334471E+001, 1.0856790E+003, 7.6072617E-001, 1.1211625E+003, 1.6858247E+000, 1.1071584E+003, 2.3515290E+000, 1.0546620E+003, 2.7576394E+000, 9.3218271E+002, 2.9408836E+000, 7.8074277E+002, 2.9732735E+000, 6.5139010E+002, 2.9659507E+000, 5.6100216E+002, 2.9656712E+000, 5.0036713E+002, 2.9677169E+000, 4.5642058E+002, 2.9535496E+000, 4.1962779E+002, 2.9336766E+000, 3.8562001E+002, 2.9421417E+000, 3.6119671E+002, 2.9460798E+000, 3.4499161E+002, 2.8885917E+000, 3.2807833E+002, 2.8168385E+000, 3.1566106E+002, 2.7807499E+000, 3.0549373E+002, 2.7718038E+000
 3.4673020E+001, 1.0680548E+003, 7.6657318E-001, 1.1211383E+003, 1.6342966E+000, 1.1326936E+003, 2.2960914E+000, 1.0990430E+003, 2.7044225E+000, 1.0102536E+003, 2.9521102E+000, 8.8245554E+002, 3.0705092E+000, 7.3938145E+002, 3.0713544E+000, 6.1292720E+002, 2.9833902E+000, 5.1525975E+002, 2.8112839E+000, 4.5076496E+002, 2.6041448E+000, 3.9533702E+002, 2.5011500E+000, 3.6231854E+002, 2.4349939E+000, 3.3554420E+002, 2.3788639E+000, 3.1633319E+002, 2.3389274E+000, 3.0308667E+002, 2.3236179E+000, 2.9564255E+002, 2.3417078E+000, 2.9080973E+002, 2.4248545E+000
 3.6000382E+001, 1.0613807E+003, 8.7678974E-001, 1.0655913E+003, 1.6252373E+000, 1.0440448E+003, 2.2372444E+000, 1.0129233E+003, 2.6554901E+000, 9.5831826E+002, 2.9343837E+000, 8.8444004E+002, 3.1031177E+000, 7.8991193E+002, 3.1808333E+000, 6.9744684E+002, 3.2177092E+000, 6.1047255E+002, 3.2418744E+000, 5.3520584E+002, 3.2194166E+000, 4.7058209E+002, 3.1554543E+000, 4.2075115E+002, 3.0461650E+000, 3.8446891E+002, 2.9291417E+000, 3.5393672E+002, 2.8488053E+000, 3.3234173E+002, 2.7988825E+000, 3.1123650E+002, 2.7475835E+000, 2.9274452E+002, 2.6727603E+000
