s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
 1.2000845E+001, 5.6953140E+001,-1.2538166E+001,-6.9424553E-003,-9.5228728E+000,-5.8093155E-003, 1.3994695E+001, 0.0000000E+000, 4.8903874E+001, 4.8874044E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 1.9216738E+004
 1.3335786E+001, 5.8089778E+001,-1.3158333E+001,-6.9121757E-003,-1.0899337E+001,-5.8469872E-003, 1.3645409E+001, 0.0000000E+000, 4.7693943E+001, 4.7664758E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 2.1158181E+004
 1.4670566E+001, 5.7527478E+001,-1.3517396E+001,-6.9127943E-003,-1.1953366E+001,-5.8439493E-003, 1.2796845E+001, 0.0000000E+000, 4.4866094E+001, 4.4840805E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 2.2978339E+004
 1.6005310E+001, 5.7250833E+001,-1.3878467E+001,-6.9080440E-003,-1.3657977E+001,-5.8546554E-003, 1.1911609E+001, 0.0000000E+000, 4.1628142E+001, 4.1613235E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 2.4672962E+004
 1.7335003E+001, 5.7862431E+001,-1.4473040E+001,-6.8540630E-003,-1.4378930E+001,-5.9023880E-003, 1.1595297E+001, 0.0000000E+000, 4.0600359E+001, 4.0593003E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 2.6315806E+004
 1.8674147E+001, 5.7475677E+001,-1.4793872E+001,-6.8859264E-003,-1.5370810E+001,-5.8784918E-003, 1.0934558E+001, 0.0000000E+000, 3.8256092E+001, 3.8232788E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 2.7876320E+004
 2.0000370E+001, 5.7491794E+001,-1.5290004E+001,-6.8616329E-003,-1.5446998E+001,-5.8957844E-003, 1.0675678E+001, 0.0000000E+000, 3.7403865E+001, 3.7417712E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 2.9384628E+004
 2.1335081E+001, 5.7701072E+001,-1.5822402E+001,-6.8777892E-003,-1.6080490E+001,-5.8772984E-003, 1.0288016E+001, 0.0000000E+000, 3.6093602E+001, 3.6073441E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 3.0848118E+004
 2.2675365E+001, 5.7620455E+001,-1.6308753E+001,-6.8453763E-003,-1.7154077E+001,-5.9166219E-003, 9.6560494E+000, 0.0000000E+000, 3.3824391E+001, 3.3800914E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 3.2227984E+004
 2.4004539E+001, 5.7211664E+001,-1.6827978E+001,-6.7876939E-003,-1.8212112E+001,-5.9714790E-003, 8.8089818E+000, 0.0000000E+000, 3.0964747E+001, 3.0967796E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 3.3475577E+004
 2.5338957E+001, 5.7620151E+001,-1.7394565E+001,-6.8635708E-003,-1.9292487E+001,-5.9020021E-003, 8.3219563E+000, 0.0000000E+000, 2.9234374E+001, 2.9242290E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 3.4658794E+004
 2.6669676E+001, 5.7650543E+001,-1.7899131E+001,-6.7725997E-003,-1.9780970E+001,-5.9853219E-003, 7.9908663E+000, 0.0000000E+000, 2.7938696E+001, 2.7948550E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 3.5791886E+004
 2.8000135E+001, 5.7429720E+001,-1.8309329E+001,-6.7803440E-003,-2.0578153E+001,-5.9805734E-003, 7.4339548E+000, 0.0000000E+000, 2.6014722E+001, 2.5963431E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 3.6847180E+004
 2.9334105E+001, 5.7383240E+001,-1.8858460E+001,-6.8288687E-003,-2.0763111E+001,-5.9369355E-003, 7.0714861E+000, 0.0000000E+000, 2.4782467E+001, 2.4820390E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 3.7852045E+004
 3.0676348E+001, 5.7658983E+001,-1.9394130E+001,-6.7784243E-003,-2.1663239E+001,-5.9768835E-003, 6.6086219E+000, 0.0000000E+000, 2.3187944E+001, 2.3197481E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 3.8796812E+004
 3.2007736E+001, 5.7378158E+001,-1.9771053E+001,-6.7837769E-003,-2.2379067E+001,-5.9767473E-003, 6.0917844E+000, 0.0000000E+000, 2.1312877E+001, 2.1307063E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 3.9661444E+004
 3.3334469E+001, 5.7390167E+001,-2.0191904E+001,-6.8092891E-003,-2.2354581E+001,-5.9582911E-003, 5.9590785E+000, 0.0000000E+000, 2.0779849E+001, 2.0789992E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.0504131E+004
 3.4673019E+001, 5.8269498E+001,-2.0788247E+001,-6.7863531E-003,-2.3001552E+001,-5.9744970E-003, 5.7944729E+000, 0.0000000E+000, 2.0262618E+001, 2.0261411E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.1330991E+004
 3.6000381E+001, 5.6965569E+001,-2.1081319E+001,-6.7941194E-003,-2.3118768E+001,-5.9647916E-003, 5.0657096E+000, 0.0000000E+000, 1.7809826E+001, 1.7818433E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.2047411E+004
 3.7340500E+001, 5.7377254E+001,-2.1543621E+001,-6.8326112E-003,-2.3950776E+001,-5.9324923E-003, 4.7817193E+000, 0.0000000E+000, 1.6650692E+001, 1.6651811E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.2730264E+004
 3.8667320E+001, 5.7596603E+001,-2.1995630E+001,-6.8409291E-003,-2.4933351E+001,-5.9152572E-003, 4.2767440E+000, 0.0000000E+000, 1.4935120E+001, 1.4931609E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.3334874E+004
 4.0009827E+001, 5.7748348E+001,-2.2421923E+001,-6.8349748E-003,-2.6169675E+001,-5.9343345E-003, 3.7502577E+000, 0.0000000E+000, 1.2924096E+001, 1.2894238E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.3872206E+004
 4.1337734E+001, 5.7275637E+001,-2.2711675E+001,-6.8373046E-003,-2.6089494E+001,-5.9253930E-003, 3.4233737E+000, 0.0000000E+000, 1.1875291E+001, 1.1885080E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.4356248E+004
 4.2671036E+001, 5.7749828E+001,-2.3150888E+001,-6.7959460E-003,-2.6236893E+001,-5.9630615E-003, 3.4055665E+000, 0.0000000E+000, 1.1749721E+001, 1.1754854E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.4840385E+004
 4.4002430E+001, 5.7218650E+001,-2.3349049E+001,-6.8531016E-003,-2.7137606E+001,-5.9046802E-003, 2.7702419E+000, 0.0000000E+000, 9.5069344E+000, 9.4894784E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.5233784E+004
 4.5334576E+001, 5.8294063E+001,-2.3856594E+001,-6.8477473E-003,-2.6883052E+001,-5.9161739E-003, 3.0754116E+000, 0.0000000E+000, 1.0596655E+001, 1.0617065E+001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.5670035E+004
 4.6671753E+001, 5.6793988E+001,-2.3926093E+001,-6.8075414E-003,-2.7586018E+001,-5.9573525E-003, 2.2259333E+000, 0.0000000E+000, 7.4857264E+000, 7.4950450E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.5987757E+004
 4.8004139E+001, 5.7771193E+001,-2.4316742E+001,-6.8489714E-003,-2.7337420E+001,-5.9113327E-003, 2.4880252E+000, 0.0000000E+000, 8.5377299E+000, 8.5922963E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.6339773E+004
 4.9341118E+001, 5.8093622E+001,-2.4682930E+001,-6.7914718E-003,-2.7938242E+001,-5.9659302E-003, 2.2635821E+000, 0.0000000E+000, 7.7480025E+000, 7.7232746E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.6663164E+004
 5.0673481E+001, 5.7042388E+001,-2.4727373E+001,-6.8288421E-003,-2.7864149E+001,-5.9359812E-003, 1.8915077E+000, 0.0000000E+000, 6.3080758E+000, 6.3296088E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.6931624E+004
 5.2006779E+001, 5.7943478E+001,-2.5068217E+001,-6.8385311E-003,-2.8113024E+001,-5.9210493E-003, 1.9875939E+000, 0.0000000E+000, 6.7687874E+000, 6.7370712E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.7214545E+004
 5.3338512E+001, 5.7463466E+001,-2.5251629E+001,-6.8258982E-003,-2.7700419E+001,-5.9290864E-003, 1.8866770E+000, 0.0000000E+000, 6.3694818E+000, 6.3853401E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.7482009E+004
 5.4675430E+001, 5.6929880E+001,-2.5475751E+001,-6.8174469E-003,-2.7501962E+001,-5.9340036E-003, 1.6936626E+000, 0.0000000E+000, 5.6374447E+000, 5.6330778E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.7723623E+004
 5.6001522E+001, 5.7640313E+001,-2.5850397E+001,-6.8172258E-003,-2.8347267E+001,-5.9442494E-003, 1.5050433E+000, 0.0000000E+000, 4.9504177E+000, 4.9349310E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.7936620E+004
 5.7340508E+001, 5.7080175E+001,-2.5894658E+001,-6.8101054E-003,-2.8296753E+001,-5.9411619E-003, 1.2914853E+000, 0.0000000E+000, 4.1747044E+000, 4.1674981E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.8121125E+004
 5.8675564E+001, 5.8065751E+001,-2.6226625E+001,-6.8008066E-003,-2.8177350E+001,-5.9614048E-003, 1.5271262E+000, 0.0000000E+000, 5.1401540E+000, 5.1761405E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.8337612E+004
 6.0002560E+001, 5.7189311E+001,-2.6376602E+001,-6.8828468E-003,-2.8627458E+001,-5.8807125E-003, 1.0194952E+000, 0.0000000E+000, 3.2130474E+000, 3.1919825E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.8482632E+004
 6.1341805E+001, 5.7778464E+001,-2.6561546E+001,-6.8448847E-003,-2.8669183E+001,-5.9082488E-003, 1.1105664E+000, 0.0000000E+000, 3.6202417E+000, 3.6455477E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.8640366E+004
 6.2674458E+001, 5.7448550E+001,-2.6709298E+001,-6.8720608E-003,-2.8558363E+001,-5.8858722E-003, 1.0133209E+000, 0.0000000E+000, 3.2395903E+000, 3.1814525E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.8785176E+004
 6.4008194E+001, 5.7639878E+001,-2.6981257E+001,-6.8190957E-003,-2.9374088E+001,-5.9407179E-003, 6.5231906E-001, 0.0000000E+000, 1.9117745E+000, 1.9240921E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.8877598E+004
 6.5338165E+001, 5.7305655E+001,-2.7064710E+001,-6.8172236E-003,-2.9512863E+001,-5.9444463E-003, 4.6631091E-001, 0.0000000E+000, 1.1439197E+000, 1.1816308E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.8943457E+004
 6.6674179E+001, 5.7812391E+001,-2.7243272E+001,-6.8771053E-003,-2.9038749E+001,-5.8850703E-003, 7.1423381E-001, 0.0000000E+000, 2.1856210E+000, 2.2318420E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9044304E+004
 6.8001671E+001, 5.7542224E+001,-2.7312928E+001,-6.8839193E-003,-2.8720187E+001,-5.8765474E-003, 7.2487089E-001, 0.0000000E+000, 2.2636182E+000, 2.2212193E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9147843E+004
 6.9338547E+001, 5.7541892E+001,-2.7493737E+001,-6.8293714E-003,-2.9692971E+001,-5.9304501E-003, 3.1530586E-001, 0.0000000E+000, 6.5886594E-001, 6.5773078E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9192960E+004
 7.0674500E+001, 5.7470389E+001,-2.7536514E+001,-6.8486839E-003,-2.9579028E+001,-5.9122999E-003, 2.9416678E-001, 0.0000000E+000, 6.1469094E-001, 6.3625290E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9234619E+004
 7.2006912E+001, 5.8010566E+001,-2.7724151E+001,-6.8107895E-003,-2.9720644E+001,-5.9499964E-003, 3.8201756E-001, 0.0000000E+000, 9.3935942E-001, 9.3502677E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9289121E+004
 7.3338669E+001, 5.6887438E+001,-2.7601866E+001,-6.8396175E-003,-2.9387262E+001,-5.9105572E-003, 1.1462973E-001, 0.0000000E+000,-2.6529050E-002, 1.8913964E-004, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9305274E+004
 7.4669304E+001, 5.7751554E+001,-2.7779565E+001,-6.8766030E-003,-2.9634461E+001,-5.8832886E-003, 2.9389917E-001, 0.0000000E+000, 6.4780576E-001, 6.1866724E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9347361E+004
 7.6007538E+001, 5.7304670E+001,-2.7845878E+001,-6.8391654E-003,-2.9708084E+001,-5.9169704E-003, 1.7891969E-002, 0.0000000E+000,-2.3912533E-001,-2.4415576E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9349705E+004
 7.7338745E+001, 5.7784334E+001,-2.8060359E+001,-6.7797163E-003,-3.0407007E+001,-5.9672617E-003,-3.0173443E-002, 0.0000000E+000,-7.0412282E-001,-7.2595156E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9346101E+004
 7.8672691E+001, 5.7286064E+001,-2.7968938E+001,-6.8366194E-003,-2.9557422E+001,-5.9218912E-003, 7.1015444E-002, 0.0000000E+000,-2.1844638E-001,-1.8203917E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9355427E+004
 8.0006767E+001, 5.7500320E+001,-2.8020233E+001,-6.8583794E-003,-2.9174957E+001,-5.9064780E-003, 2.7104299E-001, 0.0000000E+000, 5.3942850E-001, 5.6340817E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9393934E+004
 8.1334183E+001, 5.7296644E+001,-2.8081807E+001,-6.8480186E-003,-2.9246271E+001,-5.9147949E-003, 1.6389343E-001, 0.0000000E+000, 9.4525816E-002, 1.1969667E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9416683E+004
 8.2668556E+001, 5.7410211E+001,-2.8208624E+001,-6.8776113E-003,-2.9071929E+001,-5.8911164E-003, 1.9793053E-001, 0.0000000E+000, 3.4722525E-001, 3.1481988E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9445448E+004
 8.4006798E+001, 5.7716170E+001,-2.8310340E+001,-6.9269898E-003,-2.9458024E+001,-5.8318148E-003, 1.1898463E-001, 0.0000000E+000, 4.7247683E-002, 5.4032137E-002, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9462404E+004
 8.5337311E+001, 5.7924779E+001,-2.8423312E+001,-6.8926284E-003,-2.9803497E+001,-5.8682436E-003, 6.4033196E-002, 0.0000000E+000,-2.6853990E-001,-2.5075770E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9471182E+004
 8.6670036E+001, 5.7396715E+001,-2.8414800E+001,-6.8410559E-003,-2.9819035E+001,-5.9211020E-003,-1.4710601E-001, 0.0000000E+000,-1.0181482E+000,-9.9698795E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9450140E+004
 8.8007988E+001, 5.7136840E+001,-2.8362674E+001,-6.9052570E-003,-2.9227036E+001,-5.8604494E-003,-1.2780534E-002, 0.0000000E+000,-4.5312890E-001,-4.7841562E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9448714E+004
 8.9339256E+001, 5.7637718E+001,-2.8534795E+001,-6.8474917E-003,-2.9504444E+001,-5.9134367E-003,-5.1959288E-004, 0.0000000E+000,-4.2041966E-001,-4.1480087E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9448670E+004
 9.0667931E+001, 5.7663105E+001,-2.8584147E+001,-6.9180052E-003,-2.9098552E+001,-5.8378822E-003, 1.4036722E-001, 0.0000000E+000, 1.2327743E-001, 1.0801746E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9468651E+004
 9.2004593E+001, 5.7591441E+001,-2.8621890E+001,-6.9274235E-003,-2.8507878E+001,-5.8367650E-003, 3.5596012E-001, 0.0000000E+000, 7.9694337E-001, 8.0486911E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9519439E+004
 9.3334480E+001, 5.7399903E+001,-2.8679508E+001,-6.8812157E-003,-2.8068959E+001,-5.8759364E-003, 3.8386892E-001, 0.0000000E+000, 1.0142240E+000, 1.0225476E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9573344E+004
 9.4669228E+001, 5.7384254E+001,-2.8779191E+001,-6.9070306E-003,-2.8544676E+001,-5.8557792E-003, 1.9204069E-001, 0.0000000E+000, 2.4449419E-001, 2.3966456E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9600786E+004
 9.6007698E+001, 5.7707027E+001,-2.8928946E+001,-6.9344286E-003,-2.9174826E+001,-5.8249831E-003, 4.0337238E-002, 0.0000000E+000,-3.6840886E-001,-3.6916656E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9606961E+004
 9.7335709E+001, 5.7705342E+001,-2.9001446E+001,-6.8317041E-003,-2.9277584E+001,-5.9234410E-003,-1.0384825E-001, 0.0000000E+000,-7.0763400E-001,-6.9029168E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9591546E+004
 9.8674660E+001, 5.7505278E+001,-2.8954427E+001,-6.8882036E-003,-2.9743072E+001,-5.8789282E-003,-2.2769720E-001, 0.0000000E+000,-1.4580328E+000,-1.4326855E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9559055E+004
 1.0000807E+002, 5.7190998E+001,-2.8841207E+001,-6.8036877E-003,-2.8494342E+001,-5.9463044E-003, 6.9597468E-002, 0.0000000E+000,-8.4577216E-002,-8.7703813E-002, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9568614E+004
 1.0134119E+002, 5.7947638E+001,-2.9042385E+001,-6.8765074E-003,-2.8622013E+001,-5.8771963E-003, 2.9349273E-001, 0.0000000E+000, 5.5042668E-001, 5.6397852E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9610329E+004
 1.0266788E+002, 5.7248645E+001,-2.9078408E+001,-6.8672633E-003,-2.8410687E+001,-5.8957761E-003, 6.3286945E-002, 0.0000000E+000,-1.9489449E-001,-1.8992655E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9619341E+004
 1.0400370E+002, 5.7528868E+001,-2.9137012E+001,-6.8599019E-003,-2.8393331E+001,-5.9060148E-003, 1.2026840E-001, 0.0000000E+000, 1.0169376E-001, 1.0602715E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9636344E+004
 1.0533791E+002, 5.7341361E+001,-2.9238095E+001,-6.8196851E-003,-2.8882365E+001,-5.9388604E-003,-8.8904340E-002, 0.0000000E+000,-8.6169121E-001,-8.8076208E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9624227E+004
 1.0666946E+002, 5.7640764E+001,-2.9245229E+001,-6.8789574E-003,-2.9005451E+001,-5.8761119E-003,-6.9683202E-002, 0.0000000E+000,-7.1976295E-001,-6.9235400E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9613821E+004
 1.0800432E+002, 5.6842525E+001,-2.9140217E+001,-6.8925281E-003,-2.8368700E+001,-5.8646469E-003,-8.4755855E-002, 0.0000000E+000,-7.9732338E-001,-7.6390513E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9601309E+004
 1.0934046E+002, 5.8150077E+001,-2.9351717E+001,-6.8863487E-003,-2.8239776E+001,-5.8746676E-003, 3.8341979E-001, 0.0000000E+000, 9.5748909E-001, 9.2924281E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9656664E+004
 1.1067232E+002, 5.7301094E+001,-2.9270934E+001,-6.8697872E-003,-2.8479359E+001,-5.8895407E-003,-4.6745646E-003, 0.0000000E+000,-4.8264709E-001,-4.6663335E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9655744E+004
 1.1200461E+002, 5.7758804E+001,-2.9359812E+001,-6.8549840E-003,-2.8402241E+001,-5.9028991E-003, 1.4777467E-001, 0.0000000E+000, 1.2765309E-001, 1.3176712E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9676484E+004
 1.1333475E+002, 5.7684425E+001,-2.9417612E+001,-6.8938383E-003,-2.8736012E+001,-5.8656168E-003,-1.0540040E-002, 0.0000000E+000,-4.7047661E-001,-4.9249891E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9675370E+004
 1.1467578E+002, 5.6988359E+001,-2.9369966E+001,-6.9247849E-003,-2.8641162E+001,-5.8411332E-003,-2.1605499E-001, 0.0000000E+000,-1.2667571E+000,-1.2515901E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9644415E+004
 1.1600891E+002, 5.7678966E+001,-2.9411057E+001,-6.9446031E-003,-2.8787008E+001,-5.8232989E-003,-8.2908627E-002, 0.0000000E+000,-6.1851729E-001,-6.1477517E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9632296E+004
 1.1733365E+002, 5.7720947E+001,-2.9509795E+001,-6.8841767E-003,-2.8614030E+001,-5.8709189E-003, 7.5842427E-002, 0.0000000E+000,-3.2610178E-001,-3.3979024E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9643418E+004
 1.1866840E+002, 5.7048700E+001,-2.9338805E+001,-6.8602697E-003,-2.8898598E+001,-5.8931951E-003,-2.7784824E-001, 0.0000000E+000,-1.4899950E+000,-1.4793045E+000, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9603762E+004
 1.2000000E+002, 5.7767072E+001,-2.9441843E+001,-6.8657922E-003,-2.8246454E+001,-5.8908874E-003, 1.7418012E-001, 0.0000000E+000, 2.0933510E-001, 2.4019822E-001, 0.0000000E+000, 1.1497621E-003, 0.0000000E+000, 4.9627953E+004
