s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-7.1521122E-005,-2.5681310E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1521378E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0754480E+000
 1.3381329E+000, 2.9095747E+001,-6.6113814E+000,-3.7679501E-003,-3.2599651E-001,-3.1144287E-003, 8.4917815E+000, 0.0000000E+000, 2.9470034E+001, 3.0643269E+001, 0.0000000E+000, 6.2426129E-004, 0.0000000E+000, 1.1921339E+003
 2.6729200E+000, 5.4321083E+001,-1.0140761E+001,-6.6927790E-003,-9.8534196E-001,-5.4755703E-003, 1.7292894E+001, 0.0000000E+000, 6.0506341E+001, 6.0475706E+001, 0.0000000E+000, 1.0968920E-003, 0.0000000E+000, 3.6510647E+003
 4.0027647E+000, 5.7051528E+001,-1.0735715E+001,-7.0071634E-003,-3.5849055E+000,-5.7054138E-003, 1.7241710E+001, 0.0000000E+000, 5.9986645E+001, 5.9959905E+001, 0.0000000E+000, 1.1459644E-003, 0.0000000E+000, 6.0945289E+003
 5.3367124E+000, 5.7463866E+001,-1.1059633E+001,-6.9961446E-003,-4.7933060E+000,-5.7585919E-003, 1.6762915E+001, 0.0000000E+000, 5.8412990E+001, 5.8361086E+001, 0.0000000E+000, 1.1494965E-003, 0.0000000E+000, 8.4777274E+003
 6.6714797E+000, 5.7746674E+001,-1.1411464E+001,-6.9514800E-003,-5.8840992E+000,-5.8056419E-003, 1.6243434E+001, 0.0000000E+000, 5.6637139E+001, 5.6681787E+001, 0.0000000E+000, 1.1497436E-003, 0.0000000E+000, 1.0786717E+004
 8.0020828E+000, 5.7420287E+001,-1.1548576E+001,-6.9923523E-003,-6.5485369E+000,-5.7607441E-003, 1.5799656E+001, 0.0000000E+000, 5.5161340E+001, 5.5110078E+001, 0.0000000E+000, 1.1497608E-003, 0.0000000E+000, 1.3027771E+004
 9.3411026E+000, 5.7609758E+001,-1.1980012E+001,-6.9642295E-003,-7.6214233E+000,-5.7912975E-003, 1.5228489E+001, 0.0000000E+000, 5.3225604E+001, 5.3224056E+001, 0.0000000E+000, 1.1497620E-003, 0.0000000E+000, 1.5200251E+004
 1.0667459E+001, 5.7581908E+001,-1.2306598E+001,-6.9309708E-003,-9.5406489E+000,-5.8225819E-003, 1.4346343E+001, 0.0000000E+000, 5.0080522E+001, 5.0068251E+001, 0.0000000E+000, 1.1497620E-003, 0.0000000E+000, 1.7228063E+004
