,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-06-06T11:27:00.343+02:00,   0.463E-01,   0.04629,   0.944E+01
      2,2022-06-06T11:27:00.431+02:00,   0.463E-01,   0.09258,   0.981E+01
      3,2022-06-06T11:27:00.553+02:00,   0.463E-01,   0.13887,   0.102E+02
      4,2022-06-06T11:27:00.644+02:00,   0.463E-01,   0.18516,   0.106E+02
      5,2022-06-06T11:27:00.735+02:00,   0.463E-01,   0.23146,   0.110E+02
      6,2022-06-06T11:27:00.862+02:00,   0.463E-01,   0.27775,   0.115E+02
      7,2022-06-06T11:27:00.953+02:00,   0.463E-01,   0.32404,   0.119E+02
      8,2022-06-06T11:27:01.044+02:00,   0.463E-01,   0.37033,   0.122E+02
      9,2022-06-06T11:27:01.177+02:00,   0.463E-01,   0.41662,   0.128E+02
     10,2022-06-06T11:27:01.290+02:00,   0.463E-01,   0.46291,   0.132E+02
     20,2022-06-06T11:27:02.416+02:00,   0.176E-01,   0.77360,   0.177E+02
     30,2022-06-06T11:27:03.528+02:00,   0.109E-01,   0.90344,   0.221E+02
     40,2022-06-06T11:27:04.501+02:00,   0.109E-01,   1.01194,   0.260E+02
     50,2022-06-06T11:27:05.526+02:00,   0.934E-02,   1.11743,   0.301E+02
     60,2022-06-06T11:27:06.605+02:00,   0.694E-02,   1.19092,   0.344E+02
     70,2022-06-06T11:27:07.636+02:00,   0.764E-02,   1.26175,   0.385E+02
     80,2022-06-06T11:27:08.636+02:00,   0.764E-02,   1.33813,   0.425E+02
     90,2022-06-06T11:27:09.698+02:00,   0.764E-02,   1.41452,   0.467E+02
    100,2022-06-06T11:27:10.765+02:00,   0.764E-02,   1.49090,   0.510E+02
    200,2022-06-06T11:27:21.580+02:00,   0.657E-02,   2.17331,   0.940E+02
    300,2022-06-06T11:27:32.004+02:00,   0.657E-02,   2.83069,   0.136E+03
    400,2022-06-06T11:27:42.455+02:00,   0.730E-02,   3.53819,   0.177E+03
    500,2022-06-06T11:27:53.034+02:00,   0.706E-02,   4.27819,   0.220E+03
    600,2022-06-06T11:28:03.522+02:00,   0.764E-02,   5.00372,   0.261E+03
    700,2022-06-06T11:28:14.246+02:00,   0.671E-02,   5.73338,   0.304E+03
    800,2022-06-06T11:28:24.802+02:00,   0.718E-02,   6.45691,   0.346E+03
    900,2022-06-06T11:28:35.337+02:00,   0.727E-02,   7.20860,   0.388E+03
   1000,2022-06-06T11:28:46.655+02:00,   0.778E-02,   7.97095,   0.433E+03
   1100,2022-06-06T11:28:57.785+02:00,   0.731E-02,   8.68843,   0.478E+03
   1200,2022-06-06T11:29:08.489+02:00,   0.787E-02,   9.44345,   0.520E+03
   1300,2022-06-06T11:29:20.496+02:00,   0.816E-02,  10.24905,   0.568E+03
   1400,2022-06-06T11:29:31.623+02:00,   0.807E-02,  11.06482,   0.612E+03
   1500,2022-06-06T11:29:43.933+02:00,   0.796E-02,  11.88072,   0.660E+03
   1600,2022-06-06T11:29:57.012+02:00,   0.793E-02,  12.70585,   0.710E+03
   1700,2022-06-06T11:30:08.457+02:00,   0.770E-02,  13.49404,   0.755E+03
   1800,2022-06-06T11:30:19.908+02:00,   0.811E-02,  14.28712,   0.801E+03
   1900,2022-06-06T11:30:34.387+02:00,   0.872E-02,  15.10676,   0.855E+03
   2000,2022-06-06T11:30:45.873+02:00,   0.838E-02,  15.91314,   0.900E+03
   2100,2022-06-06T11:30:56.612+02:00,   0.884E-02,  16.76139,   0.943E+03
   2200,2022-06-06T11:31:07.383+02:00,   0.944E-02,  17.63123,   0.986E+03
   2300,2022-06-06T11:31:18.122+02:00,   0.872E-02,  18.45657,   0.103E+04
   2400,2022-06-06T11:31:29.006+02:00,   0.855E-02,  19.30136,   0.107E+04
   2500,2022-06-06T11:31:39.752+02:00,   0.930E-02,  20.20503,   0.112E+04
   2600,2022-06-06T11:31:50.454+02:00,   0.854E-02,  21.07037,   0.116E+04
   2700,2022-06-06T11:32:01.316+02:00,   0.892E-02,  21.98139,   0.120E+04
   2800,2022-06-06T11:32:12.000+02:00,   0.929E-02,  22.89821,   0.124E+04
   2900,2022-06-06T11:32:22.719+02:00,   0.889E-02,  23.75842,   0.129E+04
   3000,2022-06-06T11:32:33.561+02:00,   0.934E-02,  24.61082,   0.133E+04
   3100,2022-06-06T11:32:44.238+02:00,   0.839E-02,  25.46476,   0.137E+04
   3200,2022-06-06T11:32:54.959+02:00,   0.974E-02,  26.37009,   0.142E+04
   3300,2022-06-06T11:33:05.660+02:00,   0.921E-02,  27.26498,   0.146E+04
   3400,2022-06-06T11:33:16.400+02:00,   0.970E-02,  28.21361,   0.150E+04
   3500,2022-06-06T11:33:27.069+02:00,   0.938E-02,  29.16525,   0.154E+04
   3600,2022-06-06T11:33:37.976+02:00,   0.941E-02,  30.05498,   0.159E+04
   3700,2022-06-06T11:33:48.810+02:00,   0.965E-02,  30.96119,   0.163E+04
   3800,2022-06-06T11:33:59.429+02:00,   0.932E-02,  31.90026,   0.167E+04
   3900,2022-06-06T11:34:10.245+02:00,   0.853E-02,  32.77740,   0.172E+04
   4000,2022-06-06T11:34:20.944+02:00,   0.813E-02,  33.70512,   0.176E+04
   4100,2022-06-06T11:34:32.635+02:00,   0.103E-01,  34.68327,   0.180E+04
   4200,2022-06-06T11:34:43.433+02:00,   0.968E-02,  35.62307,   0.185E+04
   4300,2022-06-06T11:34:54.052+02:00,   0.104E-01,  36.56293,   0.189E+04
   4400,2022-06-06T11:35:04.709+02:00,   0.965E-02,  37.52726,   0.193E+04
   4500,2022-06-06T11:35:15.674+02:00,   0.938E-02,  38.45157,   0.198E+04
   4600,2022-06-06T11:35:26.068+02:00,   0.102E-01,  39.40478,   0.202E+04
   4700,2022-06-06T11:35:36.620+02:00,   0.850E-02,  40.35768,   0.206E+04
   4800,2022-06-06T11:35:49.028+02:00,   0.880E-02,  41.26735,   0.211E+04
   4900,2022-06-06T11:36:00.238+02:00,   0.951E-02,  42.20834,   0.215E+04
   5000,2022-06-06T11:36:12.403+02:00,   0.887E-02,  43.15547,   0.220E+04
   5100,2022-06-06T11:36:23.203+02:00,   0.958E-02,  44.02158,   0.224E+04
   5200,2022-06-06T11:36:35.795+02:00,   0.861E-02,  44.95118,   0.229E+04
   5300,2022-06-06T11:36:47.177+02:00,   0.945E-02,  45.86782,   0.234E+04
   5400,2022-06-06T11:36:57.800+02:00,   0.985E-02,  46.81948,   0.238E+04
   5500,2022-06-06T11:37:08.903+02:00,   0.967E-02,  47.75272,   0.242E+04
   5600,2022-06-06T11:37:20.302+02:00,   0.103E-01,  48.72640,   0.247E+04
   5700,2022-06-06T11:37:32.119+02:00,   0.953E-02,  49.64826,   0.252E+04
   5800,2022-06-06T11:37:43.271+02:00,   0.969E-02,  50.61534,   0.256E+04
   5900,2022-06-06T11:37:54.579+02:00,   0.849E-02,  51.56261,   0.260E+04
   6000,2022-06-06T11:38:06.723+02:00,   0.825E-02,  52.47292,   0.265E+04
   6100,2022-06-06T11:38:18.108+02:00,   0.825E-02,  53.38801,   0.270E+04
   6200,2022-06-06T11:38:29.827+02:00,   0.977E-02,  54.36491,   0.274E+04
   6300,2022-06-06T11:38:41.989+02:00,   0.925E-02,  55.28840,   0.279E+04
   6400,2022-06-06T11:38:52.787+02:00,   0.112E-01,  56.25384,   0.283E+04
   6500,2022-06-06T11:39:04.355+02:00,   0.977E-02,  57.19956,   0.288E+04
   6600,2022-06-06T11:39:17.073+02:00,   0.926E-02,  58.13478,   0.293E+04
   6700,2022-06-06T11:39:28.111+02:00,   0.978E-02,  59.10874,   0.297E+04
   6800,2022-06-06T11:39:39.256+02:00,   0.913E-02,  60.03910,   0.302E+04
   6900,2022-06-06T11:39:51.473+02:00,   0.928E-02,  60.93483,   0.307E+04
   7000,2022-06-06T11:40:02.641+02:00,   0.885E-02,  61.85575,   0.311E+04
   7100,2022-06-06T11:40:13.393+02:00,   0.855E-02,  62.78772,   0.315E+04
   7200,2022-06-06T11:40:24.154+02:00,   0.940E-02,  63.71754,   0.320E+04
   7300,2022-06-06T11:40:35.027+02:00,   0.905E-02,  64.60522,   0.324E+04
   7400,2022-06-06T11:40:46.268+02:00,   0.965E-02,  65.56978,   0.329E+04
   7500,2022-06-06T11:40:58.347+02:00,   0.947E-02,  66.47526,   0.333E+04
   7600,2022-06-06T11:41:09.820+02:00,   0.901E-02,  67.43395,   0.338E+04
   7700,2022-06-06T11:41:21.159+02:00,   0.797E-02,  68.31537,   0.342E+04
   7800,2022-06-06T11:41:31.994+02:00,   0.946E-02,  69.25724,   0.347E+04
   7900,2022-06-06T11:41:43.279+02:00,   0.101E-01,  70.15724,   0.351E+04
   8000,2022-06-06T11:41:55.607+02:00,   0.862E-02,  71.07380,   0.356E+04
   8100,2022-06-06T11:42:07.307+02:00,   0.986E-02,  72.01677,   0.361E+04
   8200,2022-06-06T11:42:18.599+02:00,   0.960E-02,  73.00243,   0.365E+04
   8300,2022-06-06T11:42:29.393+02:00,   0.855E-02,  73.94048,   0.369E+04
   8400,2022-06-06T11:42:41.766+02:00,   0.930E-02,  74.85992,   0.374E+04
   8500,2022-06-06T11:42:52.407+02:00,   0.818E-02,  75.74363,   0.378E+04
   8600,2022-06-06T11:43:03.578+02:00,   0.935E-02,  76.58179,   0.383E+04
   8700,2022-06-06T11:43:14.650+02:00,   0.935E-02,  77.51630,   0.387E+04
   8800,2022-06-06T11:43:26.325+02:00,   0.105E-01,  78.46095,   0.392E+04
   8900,2022-06-06T11:43:37.381+02:00,   0.965E-02,  79.37187,   0.396E+04
   9000,2022-06-06T11:43:49.209+02:00,   0.920E-02,  80.32030,   0.401E+04
   9100,2022-06-06T11:44:02.471+02:00,   0.921E-02,  81.20241,   0.406E+04
   9200,2022-06-06T11:44:14.703+02:00,   0.969E-02,  82.12165,   0.411E+04
   9300,2022-06-06T11:44:29.836+02:00,   0.103E-01,  83.07418,   0.416E+04
   9400,2022-06-06T11:44:41.792+02:00,   0.851E-02,  83.98977,   0.421E+04
   9500,2022-06-06T11:44:54.581+02:00,   0.979E-02,  84.90338,   0.426E+04
   9600,2022-06-06T11:45:07.568+02:00,   0.997E-02,  85.88120,   0.431E+04
   9700,2022-06-06T11:45:24.049+02:00,   0.103E-01,  86.84094,   0.437E+04
   9800,2022-06-06T11:45:37.757+02:00,   0.924E-02,  87.80304,   0.442E+04
   9900,2022-06-06T11:45:48.825+02:00,   0.814E-02,  88.67437,   0.447E+04
  10000,2022-06-06T11:46:01.551+02:00,   0.885E-02,  89.58542,   0.452E+04
  10100,2022-06-06T11:46:12.260+02:00,   0.865E-02,  90.48631,   0.456E+04
  10200,2022-06-06T11:46:23.112+02:00,   0.995E-02,  91.39128,   0.460E+04
  10300,2022-06-06T11:46:33.716+02:00,   0.992E-02,  92.33552,   0.464E+04
  10400,2022-06-06T11:46:44.661+02:00,   0.967E-02,  93.22809,   0.469E+04
  10500,2022-06-06T11:46:55.035+02:00,   0.967E-02,  94.19530,   0.473E+04
  10600,2022-06-06T11:47:05.377+02:00,   0.844E-02,  95.14154,   0.477E+04
  10700,2022-06-06T11:47:15.891+02:00,   0.909E-02,  96.05148,   0.481E+04
  10800,2022-06-06T11:47:26.430+02:00,   0.861E-02,  96.96326,   0.486E+04
  10900,2022-06-06T11:47:37.988+02:00,   0.899E-02,  97.86890,   0.490E+04
  11000,2022-06-06T11:47:49.088+02:00,   0.944E-02,  98.82563,   0.494E+04
  11100,2022-06-06T11:47:59.559+02:00,   0.923E-02,  99.78653,   0.499E+04
  11200,2022-06-06T11:48:10.062+02:00,   0.996E-02, 100.73957,   0.503E+04
  11300,2022-06-06T11:48:21.187+02:00,   0.839E-02, 101.66460,   0.507E+04
  11400,2022-06-06T11:48:31.769+02:00,   0.798E-02, 102.61599,   0.511E+04
  11500,2022-06-06T11:48:42.163+02:00,   0.106E-01, 103.57281,   0.516E+04
  11600,2022-06-06T11:48:52.559+02:00,   0.935E-02, 104.53224,   0.520E+04
  11700,2022-06-06T11:49:03.918+02:00,   0.914E-02, 105.46589,   0.524E+04
  11800,2022-06-06T11:49:14.479+02:00,   0.971E-02, 106.40442,   0.528E+04
  11900,2022-06-06T11:49:24.904+02:00,   0.102E-01, 107.30853,   0.533E+04
  12000,2022-06-06T11:49:35.472+02:00,   0.944E-02, 108.26411,   0.537E+04
  12100,2022-06-06T11:49:45.879+02:00,   0.927E-02, 109.20051,   0.541E+04
  12200,2022-06-06T11:49:56.336+02:00,   0.984E-02, 110.15348,   0.545E+04
  12300,2022-06-06T11:50:06.807+02:00,   0.909E-02, 111.11456,   0.549E+04
  12400,2022-06-06T11:50:17.197+02:00,   0.940E-02, 112.03282,   0.553E+04
  12500,2022-06-06T11:50:27.609+02:00,   0.953E-02, 112.97330,   0.558E+04
  12600,2022-06-06T11:50:38.157+02:00,   0.941E-02, 113.90852,   0.562E+04
  12700,2022-06-06T11:50:48.666+02:00,   0.931E-02, 114.85266,   0.566E+04
  12800,2022-06-06T11:50:59.180+02:00,   0.907E-02, 115.77312,   0.570E+04
  12900,2022-06-06T11:51:09.654+02:00,   0.979E-02, 116.66168,   0.574E+04
  13000,2022-06-06T11:51:20.016+02:00,   0.100E-01, 117.60415,   0.579E+04
