s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 2.8010283E+001, 2.1716556E+001,-5.4638748E+000,-2.4145833E-003,-6.6578594E+000,-2.4006332E-003, 3.8731300E+000, 0.0000000E+000, 1.3468057E+001, 1.3463137E+001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 1.5474559E+004
 2.9342360E+001, 2.1733756E+001,-5.5939150E+000,-2.4149547E-003,-7.1244231E+000,-2.3990627E-003, 3.6394394E+000, 0.0000000E+000, 1.2647816E+001, 1.2650043E+001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 1.5991078E+004
 3.0674038E+001, 2.1723222E+001,-5.6425035E+000,-2.4153715E-003,-7.3028167E+000,-2.3993978E-003, 3.5580003E+000, 0.0000000E+000, 1.2336146E+001, 1.2331088E+001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 1.6496099E+004
 3.2001450E+001, 2.1723027E+001,-5.7736478E+000,-2.4118251E-003,-7.5546756E+000,-2.4033583E-003, 3.3924722E+000, 0.0000000E+000, 1.1781870E+001, 1.1782361E+001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 1.6975975E+004
 3.3338432E+001, 2.1682422E+001,-5.8385784E+000,-2.4200541E-003,-7.8090397E+000,-2.3947786E-003, 3.2544728E+000, 0.0000000E+000, 1.1284185E+001, 1.1284462E+001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 1.7439685E+004
 3.4678444E+001, 2.1719049E+001,-5.9447945E+000,-2.4265309E-003,-7.9514304E+000,-2.3887081E-003, 3.1686631E+000, 0.0000000E+000, 1.0991142E+001, 1.0986672E+001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 1.7892224E+004
 3.6008507E+001, 2.1685371E+001,-6.0164157E+000,-2.4137069E-003,-7.9569682E+000,-2.4002400E-003, 3.1277433E+000, 0.0000000E+000, 1.0837403E+001, 1.0834916E+001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 1.8335526E+004
 3.7345608E+001, 2.1710127E+001,-6.1145925E+000,-2.4057985E-003,-8.1886820E+000,-2.4088258E-003, 3.0014259E+000, 0.0000000E+000, 1.0404307E+001, 1.0403464E+001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 1.8763243E+004
 3.8673565E+001, 2.1754993E+001,-6.2300809E+000,-2.4050029E-003,-8.4010871E+000,-2.4098665E-003, 2.8906614E+000, 0.0000000E+000, 1.0005360E+001, 1.0009671E+001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 1.9172194E+004
 4.0000198E+001, 2.1675148E+001,-6.2883963E+000,-2.4084476E-003,-8.5388754E+000,-2.4063408E-003, 2.7840178E+000, 0.0000000E+000, 9.6315817E+000, 9.6270789E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 1.9565940E+004
 4.1342979E+001, 2.1719631E+001,-6.3991512E+000,-2.4141828E-003,-8.9271276E+000,-2.4001876E-003, 2.5994268E+000, 0.0000000E+000, 8.9852324E+000, 8.9879647E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 1.9937907E+004
 4.2676838E+001, 2.1713018E+001,-6.4821654E+000,-2.4157629E-003,-8.9844194E+000,-2.3984921E-003, 2.5393576E+000, 0.0000000E+000, 8.7809020E+000, 8.7809761E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.0298807E+004
 4.4002491E+001, 2.1733788E+001,-6.5829539E+000,-2.4082141E-003,-9.1754854E+000,-2.4069315E-003, 2.4296588E+000, 0.0000000E+000, 8.4001630E+000, 8.4001927E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.0642045E+004
 4.5334755E+001, 2.1735454E+001,-6.6732399E+000,-2.4090265E-003,-9.3035114E+000,-2.4050910E-003, 2.3456445E+000, 0.0000000E+000, 8.0976737E+000, 8.0995331E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.0975000E+004
 4.6677261E+001, 2.1753108E+001,-6.7611635E+000,-2.4081523E-003,-9.5707166E+000,-2.4066292E-003, 2.2114385E+000, 0.0000000E+000, 7.6307702E+000, 7.6278519E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.1291509E+004
 4.8001141E+001, 2.1602445E+001,-6.8050348E+000,-2.3993356E-003,-9.6741256E+000,-2.4149057E-003, 2.1047626E+000, 0.0000000E+000, 7.2212943E+000, 7.2232328E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.1588556E+004
 4.9342743E+001, 2.1708381E+001,-6.9136354E+000,-2.4060126E-003,-9.8921089E+000,-2.4097339E-003, 2.0026345E+000, 0.0000000E+000, 6.8946012E+000, 6.9004557E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.1874766E+004
 5.0679070E+001, 2.1734735E+001,-7.0035549E+000,-2.4010730E-003,-9.8279990E+000,-2.4128385E-003, 2.0039929E+000, 0.0000000E+000, 6.9045575E+000, 6.9023597E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.2160160E+004
 5.2005810E+001, 2.1733262E+001,-7.1079524E+000,-2.4125663E-003,-1.0151382E+001,-2.4019110E-003, 1.8362342E+000, 0.0000000E+000, 6.3054314E+000, 6.3053474E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.2419881E+004
 5.3339439E+001, 2.1699368E+001,-7.1772907E+000,-2.4171819E-003,-1.0587648E+001,-2.3975287E-003, 1.6259816E+000, 0.0000000E+000, 5.5612188E+000, 5.5555958E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.2651106E+004
 5.4673344E+001, 2.1692789E+001,-7.2563162E+000,-2.4126116E-003,-1.0948834E+001,-2.4015262E-003, 1.4530221E+000, 0.0000000E+000, 4.9364874E+000, 4.9358459E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.2857665E+004
 5.6011284E+001, 2.1717579E+001,-7.3148898E+000,-2.4103924E-003,-1.0865638E+001,-2.4037154E-003, 1.4720508E+000, 0.0000000E+000, 5.0054575E+000, 5.0042874E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.3067493E+004
 5.7342327E+001, 2.1699628E+001,-7.4226263E+000,-2.3911623E-003,-1.0914121E+001,-2.4239537E-003, 1.3942908E+000, 0.0000000E+000, 4.7491923E+000, 4.7523560E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.3265205E+004
 5.8668175E+001, 2.1753469E+001,-7.4878521E+000,-2.4022453E-003,-1.1229320E+001,-2.4131271E-003, 1.2689704E+000, 0.0000000E+000, 4.3049089E+000, 4.3004517E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.3444697E+004
 6.0010086E+001, 2.1686203E+001,-7.5301035E+000,-2.4109137E-003,-1.1221549E+001,-2.4025460E-003, 1.2364649E+000, 0.0000000E+000, 4.1606157E+000, 4.1662012E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.3621374E+004
 6.1344246E+001, 2.1692332E+001,-7.5848178E+000,-2.4124606E-003,-1.1077447E+001,-2.4025533E-003, 1.2732885E+000, 0.0000000E+000, 4.2985737E+000, 4.2985407E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.3802462E+004
 6.2669609E+001, 2.1757064E+001,-7.6828443E+000,-2.4095231E-003,-1.1041908E+001,-2.4047999E-003, 1.2636092E+000, 0.0000000E+000, 4.2873624E+000, 4.2911066E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.3980853E+004
 6.4007050E+001, 2.1650029E+001,-7.7060504E+000,-2.4194027E-003,-1.1013709E+001,-2.3950594E-003, 1.2302233E+000, 0.0000000E+000, 4.1559305E+000, 4.1556780E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.4156248E+004
 6.5336723E+001, 2.1723379E+001,-7.8022076E+000,-2.4110472E-003,-1.1190824E+001,-2.4035169E-003, 1.1451666E+000, 0.0000000E+000, 3.8739227E+000, 3.8706988E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.4318582E+004
 6.6677612E+001, 2.1689117E+001,-7.8730196E+000,-2.4075475E-003,-1.1260421E+001,-2.4076985E-003, 1.0812701E+000, 0.0000000E+000, 3.6324958E+000, 3.6321317E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.4473195E+004
 6.8003349E+001, 2.1749612E+001,-7.9414104E+000,-2.4240075E-003,-1.1540885E+001,-2.3900873E-003, 9.7028232E-001, 0.0000000E+000, 3.2307184E+000, 3.2327852E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.4610206E+004
 6.9343468E+001, 2.1732826E+001,-8.0154780E+000,-2.4293426E-003,-1.1461416E+001,-2.3862748E-003, 9.5709543E-001, 0.0000000E+000, 3.2066030E+000, 3.2082114E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.4746890E+004
 7.0675446E+001, 2.1726813E+001,-8.0487860E+000,-2.4040496E-003,-1.1446647E+001,-2.4098808E-003, 9.5608627E-001, 0.0000000E+000, 3.1835369E+000, 3.1826519E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.4882645E+004
