,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-06-06T10:27:36.697+02:00,   0.463E-01,   0.04629,   0.961E+01
      2,2022-06-06T10:27:36.787+02:00,   0.463E-01,   0.09258,   0.992E+01
      3,2022-06-06T10:27:36.914+02:00,   0.463E-01,   0.13887,   0.104E+02
      4,2022-06-06T10:27:37.005+02:00,   0.463E-01,   0.18516,   0.108E+02
      5,2022-06-06T10:27:37.098+02:00,   0.463E-01,   0.23146,   0.112E+02
      6,2022-06-06T10:27:37.231+02:00,   0.463E-01,   0.27775,   0.117E+02
      7,2022-06-06T10:27:37.325+02:00,   0.463E-01,   0.32404,   0.121E+02
      8,2022-06-06T10:27:37.417+02:00,   0.463E-01,   0.37033,   0.125E+02
      9,2022-06-06T10:27:37.547+02:00,   0.463E-01,   0.41662,   0.130E+02
     10,2022-06-06T10:27:37.640+02:00,   0.463E-01,   0.46291,   0.134E+02
     20,2022-06-06T10:27:38.724+02:00,   0.297E-01,   0.87867,   0.177E+02
     30,2022-06-06T10:27:39.888+02:00,   0.134E-01,   1.05201,   0.224E+02
     40,2022-06-06T10:27:40.894+02:00,   0.134E-01,   1.18580,   0.264E+02
     50,2022-06-06T10:27:41.899+02:00,   0.134E-01,   1.31959,   0.304E+02
     60,2022-06-06T10:27:42.995+02:00,   0.112E-01,   1.43559,   0.348E+02
     70,2022-06-06T10:27:44.047+02:00,   0.993E-02,   1.54591,   0.390E+02
     80,2022-06-06T10:27:45.066+02:00,   0.109E-01,   1.65020,   0.430E+02
     90,2022-06-06T10:27:46.108+02:00,   0.109E-01,   1.75945,   0.472E+02
    100,2022-06-06T10:27:47.158+02:00,   0.973E-02,   1.86391,   0.514E+02
    200,2022-06-06T10:27:57.501+02:00,   0.973E-02,   2.83651,   0.927E+02
    300,2022-06-06T10:28:07.977+02:00,   0.107E-01,   3.88497,   0.135E+03
    400,2022-06-06T10:28:18.391+02:00,   0.107E-01,   4.95483,   0.176E+03
    500,2022-06-06T10:28:28.810+02:00,   0.106E-01,   6.04310,   0.218E+03
    600,2022-06-06T10:28:39.355+02:00,   0.109E-01,   7.11270,   0.260E+03
    700,2022-06-06T10:28:49.873+02:00,   0.115E-01,   8.16570,   0.302E+03
    800,2022-06-06T10:29:00.335+02:00,   0.112E-01,   9.24043,   0.344E+03
    900,2022-06-06T10:29:10.883+02:00,   0.116E-01,  10.38403,   0.386E+03
   1000,2022-06-06T10:29:21.942+02:00,   0.110E-01,  11.51151,   0.429E+03
   1100,2022-06-06T10:29:32.536+02:00,   0.113E-01,  12.60760,   0.471E+03
   1200,2022-06-06T10:29:43.109+02:00,   0.104E-01,  13.67806,   0.513E+03
   1300,2022-06-06T10:29:53.945+02:00,   0.102E-01,  14.78465,   0.557E+03
   1400,2022-06-06T10:30:04.450+02:00,   0.107E-01,  15.88720,   0.599E+03
   1500,2022-06-06T10:30:15.022+02:00,   0.115E-01,  16.98780,   0.641E+03
   1600,2022-06-06T10:30:25.504+02:00,   0.126E-01,  18.16837,   0.683E+03
   1700,2022-06-06T10:30:36.022+02:00,   0.109E-01,  19.34127,   0.725E+03
   1800,2022-06-06T10:30:46.569+02:00,   0.118E-01,  20.54747,   0.767E+03
   1900,2022-06-06T10:30:57.128+02:00,   0.115E-01,  21.73478,   0.809E+03
   2000,2022-06-06T10:31:07.579+02:00,   0.127E-01,  22.98056,   0.851E+03
   2100,2022-06-06T10:31:18.169+02:00,   0.135E-01,  24.22656,   0.893E+03
   2200,2022-06-06T10:31:28.711+02:00,   0.131E-01,  25.53990,   0.935E+03
   2300,2022-06-06T10:31:39.249+02:00,   0.107E-01,  26.79008,   0.977E+03
   2400,2022-06-06T10:31:49.764+02:00,   0.116E-01,  27.90556,   0.102E+04
   2500,2022-06-06T10:32:00.309+02:00,   0.106E-01,  29.09770,   0.106E+04
   2600,2022-06-06T10:32:10.821+02:00,   0.123E-01,  30.26058,   0.110E+04
   2700,2022-06-06T10:32:21.450+02:00,   0.104E-01,  31.48409,   0.115E+04
   2800,2022-06-06T10:32:31.901+02:00,   0.126E-01,  32.71955,   0.119E+04
   2900,2022-06-06T10:32:42.439+02:00,   0.120E-01,  33.87683,   0.123E+04
   3000,2022-06-06T10:32:52.953+02:00,   0.132E-01,  35.08404,   0.127E+04
   3100,2022-06-06T10:33:03.435+02:00,   0.130E-01,  36.37320,   0.131E+04
   3200,2022-06-06T10:33:13.921+02:00,   0.127E-01,  37.62412,   0.136E+04
   3300,2022-06-06T10:33:24.499+02:00,   0.132E-01,  38.85773,   0.140E+04
   3400,2022-06-06T10:33:35.131+02:00,   0.130E-01,  40.14211,   0.144E+04
   3500,2022-06-06T10:33:45.611+02:00,   0.123E-01,  41.39224,   0.148E+04
   3600,2022-06-06T10:33:56.139+02:00,   0.125E-01,  42.62679,   0.152E+04
   3700,2022-06-06T10:34:06.706+02:00,   0.129E-01,  43.86067,   0.157E+04
   3800,2022-06-06T10:34:17.345+02:00,   0.133E-01,  45.13504,   0.161E+04
   3900,2022-06-06T10:34:27.896+02:00,   0.126E-01,  46.37399,   0.165E+04
   4000,2022-06-06T10:34:38.448+02:00,   0.118E-01,  47.58453,   0.169E+04
   4100,2022-06-06T10:34:48.991+02:00,   0.129E-01,  48.81529,   0.174E+04
   4200,2022-06-06T10:34:59.464+02:00,   0.129E-01,  50.10176,   0.178E+04
   4300,2022-06-06T10:35:09.907+02:00,   0.126E-01,  51.36139,   0.182E+04
   4400,2022-06-06T10:35:20.370+02:00,   0.124E-01,  52.63284,   0.186E+04
   4500,2022-06-06T10:35:30.795+02:00,   0.116E-01,  53.90185,   0.190E+04
   4600,2022-06-06T10:35:41.299+02:00,   0.127E-01,  55.17029,   0.194E+04
   4700,2022-06-06T10:35:51.755+02:00,   0.140E-01,  56.45217,   0.199E+04
   4800,2022-06-06T10:36:02.403+02:00,   0.133E-01,  57.79259,   0.203E+04
   4900,2022-06-06T10:36:13.715+02:00,   0.117E-01,  59.04285,   0.207E+04
   5000,2022-06-06T10:36:24.794+02:00,   0.123E-01,  60.22653,   0.212E+04
   5100,2022-06-06T10:36:35.898+02:00,   0.131E-01,  61.52750,   0.216E+04
   5200,2022-06-06T10:36:46.391+02:00,   0.127E-01,  62.79696,   0.220E+04
   5300,2022-06-06T10:36:56.807+02:00,   0.122E-01,  64.04368,   0.225E+04
   5400,2022-06-06T10:37:07.226+02:00,   0.128E-01,  65.36235,   0.229E+04
   5500,2022-06-06T10:37:17.638+02:00,   0.120E-01,  66.54816,   0.233E+04
   5600,2022-06-06T10:37:28.041+02:00,   0.124E-01,  67.81553,   0.237E+04
   5700,2022-06-06T10:37:38.938+02:00,   0.140E-01,  69.13049,   0.241E+04
   5800,2022-06-06T10:37:49.643+02:00,   0.133E-01,  70.40853,   0.246E+04
   5900,2022-06-06T10:38:00.303+02:00,   0.142E-01,  71.74378,   0.250E+04
   6000,2022-06-06T10:38:11.424+02:00,   0.121E-01,  73.04637,   0.254E+04
   6100,2022-06-06T10:38:22.462+02:00,   0.121E-01,  74.25772,   0.259E+04
   6200,2022-06-06T10:38:33.344+02:00,   0.133E-01,  75.53085,   0.263E+04
   6300,2022-06-06T10:38:43.633+02:00,   0.125E-01,  76.79745,   0.267E+04
   6400,2022-06-06T10:38:55.017+02:00,   0.126E-01,  78.10138,   0.272E+04
   6500,2022-06-06T10:39:05.272+02:00,   0.135E-01,  79.38545,   0.276E+04
   6600,2022-06-06T10:39:16.085+02:00,   0.134E-01,  80.69312,   0.280E+04
   6700,2022-06-06T10:39:27.151+02:00,   0.115E-01,  81.94798,   0.285E+04
   6800,2022-06-06T10:39:38.224+02:00,   0.127E-01,  83.20329,   0.289E+04
   6900,2022-06-06T10:39:49.407+02:00,   0.133E-01,  84.45803,   0.293E+04
   7000,2022-06-06T10:39:59.952+02:00,   0.129E-01,  85.70158,   0.298E+04
   7100,2022-06-06T10:40:10.712+02:00,   0.125E-01,  86.94779,   0.302E+04
   7200,2022-06-06T10:40:21.299+02:00,   0.121E-01,  88.23536,   0.306E+04
   7300,2022-06-06T10:40:31.733+02:00,   0.123E-01,  89.60698,   0.310E+04
   7400,2022-06-06T10:40:42.229+02:00,   0.119E-01,  90.85770,   0.315E+04
   7500,2022-06-06T10:40:52.720+02:00,   0.126E-01,  92.07938,   0.319E+04
   7600,2022-06-06T10:41:03.169+02:00,   0.121E-01,  93.28358,   0.323E+04
   7700,2022-06-06T10:41:14.975+02:00,   0.127E-01,  94.58661,   0.328E+04
   7800,2022-06-06T10:41:25.503+02:00,   0.116E-01,  95.79076,   0.332E+04
   7900,2022-06-06T10:41:36.031+02:00,   0.119E-01,  97.02039,   0.336E+04
   8000,2022-06-06T10:41:46.978+02:00,   0.134E-01,  98.30513,   0.340E+04
   8100,2022-06-06T10:41:58.007+02:00,   0.126E-01,  99.55257,   0.345E+04
   8200,2022-06-06T10:42:08.623+02:00,   0.122E-01, 100.78179,   0.349E+04
   8300,2022-06-06T10:42:19.118+02:00,   0.126E-01, 102.02978,   0.353E+04
   8400,2022-06-06T10:42:29.610+02:00,   0.125E-01, 103.27193,   0.357E+04
   8500,2022-06-06T10:42:40.672+02:00,   0.117E-01, 104.55159,   0.362E+04
   8600,2022-06-06T10:42:51.189+02:00,   0.130E-01, 105.79885,   0.366E+04
