,,s,s,s
   8700,2022-06-06T10:43:01.672+02:00,   0.139E-01, 107.06055,   0.370E+04
   8800,2022-06-06T10:43:12.064+02:00,   0.128E-01, 108.30247,   0.374E+04
   8900,2022-06-06T10:43:22.830+02:00,   0.123E-01, 109.51301,   0.379E+04
   9000,2022-06-06T10:43:33.339+02:00,   0.132E-01, 110.76710,   0.383E+04
   9100,2022-06-06T10:43:43.846+02:00,   0.129E-01, 112.01532,   0.387E+04
   9200,2022-06-06T10:43:54.274+02:00,   0.126E-01, 113.28187,   0.391E+04
   9300,2022-06-06T10:44:04.899+02:00,   0.111E-01, 114.55509,   0.395E+04
   9400,2022-06-06T10:44:15.368+02:00,   0.122E-01, 115.76303,   0.400E+04
   9500,2022-06-06T10:44:26.702+02:00,   0.115E-01, 116.99450,   0.404E+04
   9600,2022-06-06T10:44:37.456+02:00,   0.134E-01, 118.30921,   0.408E+04
   9700,2022-06-06T10:44:48.120+02:00,   0.129E-01, 119.59881,   0.413E+04
   9731,2022-06-06T10:44:51.414+02:00,   0.522E-02, 120.00000,   0.414E+04
