s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s
Time,"T-1","V-1","T-2","V-2","T-3","V-3","T-4","V-4","T-5","V-5","T-6","V-6","T-7","V-7","T-8","V-8","T-9","V-9","T-10","V-10","T-11","V-11","T-12","V-12","T-13","V-13","T-14","V-14","T-15","V-15","T-16","V-16","T-17","V-17"
 0.0000000E+000, 2.0000000E+001, 3.7817402E-003, 2.0000000E+001, 9.4756340E-003, 2.0000000E+001, 4.0569399E-003, 2.0000000E+001, 3.8948375E-004, 2.0000000E+001, 6.1498287E-003, 2.0000000E+001, 6.2855519E-003, 2.0000000E+001, 4.1345172E-003, 2.0000000E+001, 9.5213566E-003, 2.0000000E+001, 8.1862431E-003, 2.0000000E+001, 4.5107108E-003, 2.0000000E+001, 1.0303454E-002, 2.0000000E+001, 8.1185274E-003, 2.0000000E+001, 8.6018875E-003, 2.0000000E+001, 6.8971762E-003, 2.0000000E+001, 3.8847160E-003, 2.0000000E+001, 5.8820645E-003, 2.0000000E+001, 1.0300962E-002
 1.3463498E+000, 4.0359498E+002, 2.8271678E-001, 3.3930935E+002, 6.9844858E-001, 2.6858132E+002, 8.9369882E-001, 2.0963462E+002, 9.5852929E-001, 1.6261803E+002, 9.5432791E-001, 1.2772845E+002, 9.1067656E-001, 1.0103822E+002, 8.4652504E-001, 8.2267150E+001, 7.6607396E-001, 6.6664593E+001, 6.7398990E-001, 5.6763679E+001, 5.9491395E-001, 4.8048147E+001, 5.3582874E-001, 4.3875357E+001, 4.6260928E-001, 3.7084373E+001, 3.7615519E-001, 3.3695753E+001, 3.0304092E-001, 2.7800956E+001, 2.3069717E-001, 2.5124914E+001, 1.5702233E-001, 2.1429324E+001, 9.1999896E-002
 2.6711653E+000, 9.1856935E+002, 6.5523364E-001, 9.4885037E+002, 1.7283453E+000, 9.3370648E+002, 2.4462137E+000, 8.8684626E+002, 2.9541784E+000, 8.1895299E+002, 3.3301615E+000, 7.4951530E+002, 3.6166196E+000, 6.8215145E+002, 3.8352397E+000, 6.1789954E+002, 4.0087893E+000, 5.5907537E+002, 4.1411951E+000, 5.0652811E+002, 4.2236968E+000, 4.5807083E+002, 4.2677809E+000, 4.1556771E+002, 4.3001688E+000, 3.8007259E+002, 4.3250054E+000, 3.4860016E+002, 4.3295731E+000, 3.2065492E+002, 4.3193546E+000, 2.9510039E+002, 4.3057127E+000, 2.7134659E+002, 4.2740552E+000
 4.0026550E+000, 9.4601278E+002, 6.7405001E-001, 9.6673203E+002, 1.7642128E+000, 9.4842643E+002, 2.5022210E+000, 8.9323086E+002, 3.0173380E+000, 8.2298686E+002, 3.3838638E+000, 7.5295088E+002, 3.6539918E+000, 6.8810970E+002, 3.8597981E+000, 6.2869673E+002, 4.0228456E+000, 5.7456202E+002, 4.1518725E+000, 5.2518239E+002, 4.2510412E+000, 4.8092231E+002, 4.3280878E+000, 4.4059302E+002, 4.3867615E+000, 4.0756757E+002, 4.4315235E+000, 3.7793956E+002, 4.4633370E+000, 3.5190269E+002, 4.4808670E+000, 3.2705731E+002, 4.4907160E+000, 3.0346465E+002, 4.4921614E+000
 5.3399803E+000, 9.1666455E+002, 6.5110758E-001, 9.1139677E+002, 1.6939097E+000, 8.7271149E+002, 2.4020817E+000, 8.0743485E+002, 2.8805864E+000, 7.2946101E+002, 3.2082961E+000, 6.4799704E+002, 3.4401377E+000, 5.7467957E+002, 3.6093580E+000, 5.1168406E+002, 3.7341130E+000, 4.5870877E+002, 3.8236725E+000, 4.1517023E+002, 3.8838761E+000, 3.7845461E+002, 3.9155620E+000, 3.4637099E+002, 3.9306887E+000, 3.1886335E+002, 3.9426425E+000, 2.9334195E+002, 3.9435689E+000, 2.7013120E+002, 3.9217576E+000, 2.4882475E+002, 3.8792913E+000, 2.3069426E+002, 3.8344421E+000
 6.6683203E+000, 9.1639944E+002, 6.5081943E-001, 9.0247329E+002, 1.6664332E+000, 8.5353219E+002, 2.3427065E+000, 7.8444082E+002, 2.8107961E+000, 7.0699144E+002, 3.1449764E+000, 6.3187765E+002, 3.3840887E+000, 5.5981062E+002, 3.5476333E+000, 4.9659128E+002, 3.6511730E+000, 4.4021742E+002, 3.7125640E+000, 3.8949417E+002, 3.7445779E+000, 3.4750955E+002, 3.7540967E+000, 3.1336710E+002, 3.7420602E+000, 2.8376630E+002, 3.7068037E+000, 2.5687674E+002, 3.6631205E+000, 2.3247148E+002, 3.6182868E+000, 2.1069253E+002, 3.5637536E+000, 1.9350526E+002, 3.4928229E+000
 8.0040562E+000, 9.1350429E+002, 6.6025417E-001, 9.0147169E+002, 1.6818452E+000, 8.5521274E+002, 2.3752041E+000, 7.8041120E+002, 2.8392800E+000, 6.9478294E+002, 3.1430654E+000, 6.0782660E+002, 3.3382380E+000, 5.3183449E+002, 3.4609721E+000, 4.6992417E+002, 3.5417610E+000, 4.1789359E+002, 3.6054673E+000, 3.7330784E+002, 3.6577978E+000, 3.3472579E+002, 3.6871737E+000, 3.0059466E+002, 3.6900679E+000, 2.7261507E+002, 3.6743934E+000, 2.4903205E+002, 3.6433478E+000, 2.2878325E+002, 3.6024994E+000, 2.1164666E+002, 3.5517644E+000, 1.9490563E+002, 3.4879316E+000
 9.3416475E+000, 8.9635172E+002, 6.4848268E-001, 8.8213354E+002, 1.6429561E+000, 8.3013690E+002, 2.3052994E+000, 7.4939246E+002, 2.7518344E+000, 6.6094790E+002, 3.0467308E+000, 5.7619980E+002, 3.2311708E+000, 4.9705021E+002, 3.3395654E+000, 4.2928499E+002, 3.3890810E+000, 3.6993973E+002, 3.3972202E+000, 3.2539698E+002, 3.3747236E+000, 2.8941190E+002, 3.3328700E+000, 2.5811813E+002, 3.2871687E+000, 2.3062822E+002, 3.2256065E+000, 2.0780277E+002, 3.1374370E+000, 1.8843361E+002, 3.0450064E+000, 1.7321175E+002, 2.9692849E+000, 1.6129199E+002, 2.8909906E+000
 1.0677468E+001, 9.0092626E+002, 6.4373275E-001, 8.9002213E+002, 1.6463300E+000, 8.3887914E+002, 2.3215955E+000, 7.6546383E+002, 2.7761736E+000, 6.8456636E+002, 3.0812372E+000, 6.0402633E+002, 3.2796660E+000, 5.3176996E+002, 3.4008508E+000, 4.7030180E+002, 3.4770870E+000, 4.1916227E+002, 3.5246967E+000, 3.7226168E+002, 3.5503410E+000, 3.3130384E+002, 3.5523102E+000, 2.9688006E+002, 3.5215696E+000, 2.6589008E+002, 3.4636839E+000, 2.3742361E+002, 3.3968333E+000, 2.1430393E+002, 3.3212045E+000, 1.9245202E+002, 3.2276946E+000, 1.7418110E+002, 3.1423830E+000
 1.2003149E+001, 8.7183835E+002, 6.6120291E-001, 8.5541820E+002, 1.6246783E+000, 8.0398643E+002, 2.2690435E+000, 7.2931384E+002, 2.6919123E+000, 6.4647920E+002, 2.9578210E+000, 5.6506252E+002, 3.1356195E+000, 4.9337402E+002, 3.2626813E+000, 4.3215493E+002, 3.3324013E+000, 3.7979887E+002, 3.3499948E+000, 3.3180258E+002, 3.3387077E+000, 2.9361313E+002, 3.3062873E+000, 2.5721152E+002, 3.2556856E+000, 2.2862475E+002, 3.1829235E+000, 2.0313203E+002, 3.1004917E+000, 1.8443936E+002, 3.0258280E+000, 1.7006809E+002, 2.9707149E+000, 1.6076116E+002, 2.9329453E+000
 1.3340078E+001, 9.0380947E+002, 6.2796934E-001, 8.9481225E+002, 1.6282153E+000, 8.4852289E+002, 2.2981716E+000, 7.7260280E+002, 2.7505321E+000, 6.8280047E+002, 3.0553070E+000, 5.9447558E+002, 3.2445924E+000, 5.0630026E+002, 3.3480571E+000, 4.2688501E+002, 3.4034235E+000, 3.6275658E+002, 3.4121282E+000, 3.1411656E+002, 3.3725679E+000, 2.7791596E+002, 3.3152235E+000, 2.4968209E+002, 3.2633751E+000, 2.2518075E+002, 3.2271527E+000, 2.0558383E+002, 3.1934713E+000, 1.8763584E+002, 3.1362040E+000, 1.7168760E+002, 3.0561310E+000, 1.5536550E+002, 2.9456433E+000
 1.4672545E+001, 9.3426672E+002, 6.3423427E-001, 9.3868402E+002, 1.6839365E+000, 9.1270863E+002, 2.4038276E+000, 8.5330157E+002, 2.9018743E+000, 7.7777274E+002, 3.2539256E+000, 6.9984441E+002, 3.5106736E+000, 6.2893666E+002, 3.6920723E+000, 5.6512174E+002, 3.8127429E+000, 5.0715123E+002, 3.8951734E+000, 4.5463987E+002, 3.9479657E+000, 4.0786739E+002, 3.9729930E+000, 3.6595013E+002, 3.9767915E+000, 3.3152775E+002, 3.9619538E+000, 3.0294415E+002, 3.9310747E+000, 2.7840907E+002, 3.8898852E+000, 2.5631168E+002, 3.8343932E+000, 2.3437009E+002, 3.7628915E+000
 1.6004351E+001, 9.3065000E+002, 6.5422969E-001, 9.2717105E+002, 1.6791370E+000, 8.9801009E+002, 2.3863818E+000, 8.4026720E+002, 2.8822713E+000, 7.6423575E+002, 3.2299564E+000, 6.8300944E+002, 3.4765602E+000, 6.0583731E+002, 3.6446650E+000, 5.3418957E+002, 3.7517740E+000, 4.7053407E+002, 3.8134075E+000, 4.1457433E+002, 3.8402293E+000, 3.6679749E+002, 3.8275532E+000, 3.2789986E+002, 3.7840970E+000, 2.9550006E+002, 3.7329359E+000, 2.6836456E+002, 3.6786631E+000, 2.4498270E+002, 3.6141929E+000, 2.2576231E+002, 3.5412330E+000, 2.0774732E+002, 3.4711640E+000
 1.7343809E+001, 9.1086476E+002, 6.5443508E-001, 8.9463299E+002, 1.6443040E+000, 8.3972646E+002, 2.3030609E+000, 7.5489344E+002, 2.7383169E+000, 6.6427641E+002, 3.0218243E+000, 5.8557343E+002, 3.2025086E+000, 5.1439298E+002, 3.3246492E+000, 4.5388838E+002, 3.4085089E+000, 4.0080703E+002, 3.4562695E+000, 3.5529180E+002, 3.4702412E+000, 3.1722886E+002, 3.4595680E+000, 2.8490091E+002, 3.4263913E+000, 2.5747491E+002, 3.3726399E+000, 2.3623506E+002, 3.3162220E+000, 2.1959345E+002, 3.2659246E+000, 2.0503615E+002, 3.2202533E+000, 1.9286457E+002, 3.1648917E+000
 1.8669212E+001, 9.2162186E+002, 6.2791754E-001, 9.0540103E+002, 1.6399407E+000, 8.5883857E+002, 2.3173169E+000, 7.8580182E+002, 2.7837074E+000, 6.9918108E+002, 3.1040604E+000, 6.1093841E+002, 3.3146245E+000, 5.2935041E+002, 3.4368726E+000, 4.5702793E+002, 3.4934771E+000, 4.0032252E+002, 3.5029390E+000, 3.5264641E+002, 3.4889069E+000, 3.1514326E+002, 3.4675119E+000, 2.8139847E+002, 3.4406736E+000, 2.5467751E+002, 3.4076585E+000, 2.2964936E+002, 3.3498421E+000, 2.0970981E+002, 3.2536489E+000, 1.9156649E+002, 3.1444251E+000, 1.7820112E+002, 3.0601576E+000
 2.0011196E+001, 9.1876713E+002, 6.3916407E-001, 8.9395473E+002, 1.6378344E+000, 8.3986957E+002, 2.3084643E+000, 7.6715746E+002, 2.7565865E+000, 6.8900385E+002, 3.0533648E+000, 6.0498549E+002, 3.2536557E+000, 5.2737640E+002, 3.3780835E+000, 4.5658598E+002, 3.4333677E+000, 3.9843293E+002, 3.4501647E+000, 3.4892592E+002, 3.4461007E+000, 3.1246934E+002, 3.4207376E+000, 2.7972255E+002, 3.3704168E+000, 2.5350706E+002, 3.2887361E+000, 2.3044271E+002, 3.2033020E+000, 2.1270486E+002, 3.1252776E+000, 1.9739601E+002, 3.0283154E+000, 1.8269893E+002, 2.9120295E+000
 2.1335618E+001, 8.8162671E+002, 6.5110137E-001, 8.4596162E+002, 1.5910539E+000, 7.8561957E+002, 2.1983612E+000, 7.0378322E+002, 2.5887736E+000, 6.0031277E+002, 2.8433890E+000, 4.9535575E+002, 2.9789178E+000, 4.1218400E+002, 3.0102907E+000, 3.4577408E+002, 2.9877961E+000, 2.9601756E+002, 2.9377537E+000, 2.5741990E+002, 2.8552627E+000, 2.3117966E+002, 2.7804109E+000, 2.0952253E+002, 2.7250921E+000, 1.9396712E+002, 2.6598308E+000, 1.7917493E+002, 2.5831017E+000, 1.6776749E+002, 2.5133824E+000, 1.5635567E+002, 2.4608554E+000, 1.4910354E+002, 2.4261992E+000
 2.2676315E+001, 8.6851323E+002, 6.6406105E-001, 8.3846052E+002, 1.5621984E+000, 7.6791866E+002, 2.1585865E+000, 6.8172892E+002, 2.5465422E+000, 5.9745130E+002, 2.7987834E+000, 5.2288583E+002, 2.9660895E+000, 4.5402181E+002, 3.0799937E+000, 3.9686261E+002, 3.1189233E+000, 3.4586963E+002, 3.0838921E+000, 2.9989478E+002, 3.0250674E+000, 2.6238420E+002, 2.9532115E+000, 2.3226826E+002, 2.8729344E+000, 2.0946650E+002, 2.8130426E+000, 1.9078680E+002, 2.7621573E+000, 1.7647703E+002, 2.6953067E+000, 1.6538141E+002, 2.6139228E+000, 1.5760243E+002, 2.5295891E+000
 2.4010500E+001, 8.0680152E+002, 6.0580831E-001, 7.6328369E+002, 1.4832708E+000, 6.9082222E+002, 2.0693700E+000, 6.0548407E+002, 2.4460260E+000, 5.2480704E+002, 2.6663051E+000, 4.4777048E+002, 2.7627695E+000, 3.7701102E+002, 2.7691831E+000, 3.2055959E+002, 2.7378104E+000, 2.7816871E+002, 2.7096075E+000, 2.4775175E+002, 2.6834627E+000, 2.2614266E+002, 2.6545320E+000, 2.1144801E+002, 2.6295921E+000, 2.0003742E+002, 2.6048529E+000, 1.9000868E+002, 2.5700460E+000, 1.8119592E+002, 2.5430700E+000, 1.7352112E+002, 2.5398127E+000, 1.6689802E+002, 2.5436615E+000
 2.5343026E+001, 8.0464954E+002, 6.1177900E-001, 7.7902643E+002, 1.5329039E+000, 7.2849398E+002, 2.1227101E+000, 6.5626708E+002, 2.4892443E+000, 5.7322622E+002, 2.7024163E+000, 4.9032290E+002, 2.8139692E+000, 4.1195558E+002, 2.8539940E+000, 3.4651242E+002, 2.8298843E+000, 2.9602779E+002, 2.7521348E+000, 2.5513696E+002, 2.6529582E+000, 2.2301341E+002, 2.5459847E+000, 1.9794316E+002, 2.4432750E+000, 1.7858084E+002, 2.3571296E+000, 1.6573807E+002, 2.3087487E+000, 1.5735705E+002, 2.2648875E+000, 1.5078830E+002, 2.2099254E+000, 1.4481307E+002, 2.1888837E+000
 2.6667838E+001, 8.3470248E+002, 6.2071085E-001, 8.2316797E+002, 1.5766868E+000, 7.7576106E+002, 2.2120562E+000, 7.0566150E+002, 2.6347813E+000, 6.3077850E+002, 2.9108992E+000, 5.5894197E+002, 3.0879901E+000, 4.9120314E+002, 3.1905329E+000, 4.2941388E+002, 3.2270683E+000, 3.7429208E+002, 3.2191602E+000, 3.2854162E+002, 3.1882323E+000, 2.9286254E+002, 3.1470311E+000, 2.6250017E+002, 3.0973193E+000, 2.3909453E+002, 3.0429038E+000, 2.1943566E+002, 2.9747722E+000, 2.0255712E+002, 2.9006180E+000, 1.8843806E+002, 2.8344544E+000, 1.7757594E+002, 2.7487048E+000
 2.8010283E+001, 8.0389466E+002, 6.2899747E-001, 7.9491098E+002, 1.5605197E+000, 7.5756511E+002, 2.1799128E+000, 7.0372841E+002, 2.5946157E+000, 6.4255003E+002, 2.8882290E+000, 5.8271426E+002, 3.1009161E+000, 5.2878440E+002, 3.2475243E+000, 4.7790464E+002, 3.3517494E+000, 4.2931010E+002, 3.4183897E+000, 3.8363457E+002, 3.4358803E+000, 3.4253587E+002, 3.4134229E+000, 3.0715253E+002, 3.3578099E+000, 2.7481258E+002, 3.2720719E+000, 2.4562412E+002, 3.1643481E+000, 2.1961599E+002, 3.0515026E+000, 1.9857891E+002, 2.9310590E+000, 1.8071423E+002, 2.7951244E+000
 2.9342359E+001, 7.9976323E+002, 6.3571350E-001, 7.7734927E+002, 1.4821908E+000, 7.0782685E+002, 2.0338059E+000, 6.1831078E+002, 2.3800661E+000, 5.3133247E+002, 2.5824194E+000, 4.5195969E+002, 2.6787737E+000, 3.8671809E+002, 2.7079215E+000, 3.3820862E+002, 2.6917794E+000, 3.0203453E+002, 2.6657377E+000, 2.7572183E+002, 2.6642461E+000, 2.5737547E+002, 2.6800686E+000, 2.4287990E+002, 2.6952181E+000, 2.2994730E+002, 2.6989619E+000, 2.1627148E+002, 2.6838096E+000, 2.0390212E+002, 2.6606672E+000, 1.9361500E+002, 2.6278640E+000, 1.8542544E+002, 2.5927060E+000
 3.0674039E+001, 8.2464445E+002, 6.4047987E-001, 8.1275570E+002, 1.5625320E+000, 7.5890257E+002, 2.1795810E+000, 6.8653796E+002, 2.5557643E+000, 6.0044496E+002, 2.7634926E+000, 5.2078962E+002, 2.8709210E+000, 4.4636406E+002, 2.9164080E+000, 3.7414767E+002, 2.9182486E+000, 3.1057310E+002, 2.8540888E+000, 2.6313150E+002, 2.6814536E+000, 2.2426032E+002, 2.4292339E+000, 1.9251247E+002, 2.1669256E+000, 1.7266789E+002, 1.9543698E+000, 1.6205379E+002, 1.8126405E+000, 1.5471348E+002, 1.7181965E+000, 1.4837919E+002, 1.6816010E+000, 1.4201297E+002, 1.7012172E+000
 3.2001449E+001, 7.9240428E+002, 6.5755332E-001, 7.6264114E+002, 1.4645755E+000, 7.0241004E+002, 2.0108857E+000, 6.2592980E+002, 2.3564648E+000, 5.4998355E+002, 2.5766067E+000, 4.8081048E+002, 2.7146701E+000, 4.1820673E+002, 2.7890270E+000, 3.6194609E+002, 2.8087853E+000, 3.1484538E+002, 2.7900501E+000, 2.7517131E+002, 2.7569906E+000, 2.4509433E+002, 2.7212942E+000, 2.2385453E+002, 2.6726463E+000, 2.0697419E+002, 2.6036452E+000, 1.9468702E+002, 2.5295546E+000, 1.8511744E+002, 2.4788309E+000, 1.7689900E+002, 2.4450314E+000, 1.7060941E+002, 2.4091955E+000
 3.3338433E+001, 7.6732685E+002, 6.0173014E-001, 7.3404247E+002, 1.4389679E+000, 6.8796622E+002, 2.0081991E+000, 6.2610104E+002, 2.3904574E+000, 5.5828248E+002, 2.6439697E+000, 4.9231622E+002, 2.7853973E+000, 4.2764132E+002, 2.8477384E+000, 3.6904863E+002, 2.8526411E+000, 3.1817928E+002, 2.7984587E+000, 2.7531987E+002, 2.7251807E+000, 2.4185900E+002, 2.6430784E+000, 2.1635571E+002, 2.5513152E+000, 1.9870617E+002, 2.4913042E+000, 1.8587648E+002, 2.4347640E+000, 1.7325732E+002, 2.3531289E+000, 1.6076061E+002, 2.2657961E+000, 1.4880628E+002, 2.1802937E+000
 3.4678445E+001, 8.5479092E+002, 6.3457596E-001, 8.5078898E+002, 1.5752559E+000, 8.0608310E+002, 2.2109798E+000, 7.3795662E+002, 2.6370772E+000, 6.6820152E+002, 2.9066240E+000, 5.9627918E+002, 3.0957382E+000, 5.3152038E+002, 3.2297640E+000, 4.7763622E+002, 3.3069516E+000, 4.2806377E+002, 3.3604658E+000, 3.8457745E+002, 3.3756909E+000, 3.4881065E+002, 3.3611016E+000, 3.1939456E+002, 3.3254690E+000, 2.8930735E+002, 3.2333435E+000, 2.6190623E+002, 3.1080234E+000, 2.3746799E+002, 2.9707694E+000, 2.1474273E+002, 2.8363551E+000, 1.9314582E+002, 2.7167651E+000
 3.6008506E+001, 8.1509999E+002, 6.5946739E-001, 8.0666611E+002, 1.5373478E+000, 7.5292143E+002, 2.1161431E+000, 6.7424270E+002, 2.4938500E+000, 5.9907967E+002, 2.7260804E+000, 5.3837495E+002, 2.8717731E+000, 4.7587505E+002, 2.9580730E+000, 4.0766566E+002, 2.9556836E+000, 3.4917215E+002, 2.8858228E+000, 3.0100487E+002, 2.7981418E+000, 2.6337359E+002, 2.6895512E+000, 2.3584302E+002, 2.5640912E+000, 2.1205759E+002, 2.4442773E+000, 1.9444068E+002, 2.3485614E+000, 1.7810207E+002, 2.2717774E+000, 1.7035239E+002, 2.2147717E+000, 1.6378838E+002, 2.1378520E+000
