,,s,s,s
    800,2022-06-06T10:14:01.053+02:00,   0.140E-01,  10.94964,   0.347E+03
    900,2022-06-06T10:14:11.576+02:00,   0.122E-01,  12.25470,   0.390E+03
   1000,2022-06-06T10:14:22.350+02:00,   0.132E-01,  13.55362,   0.433E+03
   1100,2022-06-06T10:14:32.865+02:00,   0.132E-01,  14.87547,   0.474E+03
   1200,2022-06-06T10:14:43.473+02:00,   0.128E-01,  16.11812,   0.517E+03
   1300,2022-06-06T10:14:53.959+02:00,   0.127E-01,  17.50667,   0.559E+03
   1400,2022-06-06T10:15:04.506+02:00,   0.116E-01,  18.80973,   0.601E+03
   1500,2022-06-06T10:15:15.020+02:00,   0.137E-01,  20.13957,   0.643E+03
   1600,2022-06-06T10:15:25.558+02:00,   0.117E-01,  21.48130,   0.685E+03
   1700,2022-06-06T10:15:36.091+02:00,   0.153E-01,  22.78866,   0.727E+03
   1800,2022-06-06T10:15:46.731+02:00,   0.131E-01,  24.14342,   0.770E+03
   1900,2022-06-06T10:15:57.198+02:00,   0.144E-01,  25.56518,   0.812E+03
   2000,2022-06-06T10:16:08.117+02:00,   0.126E-01,  26.99706,   0.855E+03
   2100,2022-06-06T10:16:18.931+02:00,   0.139E-01,  28.34276,   0.899E+03
   2200,2022-06-06T10:16:29.363+02:00,   0.139E-01,  29.72870,   0.940E+03
   2300,2022-06-06T10:16:39.909+02:00,   0.138E-01,  31.11206,   0.982E+03
   2400,2022-06-06T10:16:50.458+02:00,   0.150E-01,  32.57974,   0.102E+04
   2500,2022-06-06T10:17:00.954+02:00,   0.144E-01,  33.94035,   0.107E+04
   2600,2022-06-06T10:17:11.565+02:00,   0.136E-01,  35.29931,   0.111E+04
   2700,2022-06-06T10:17:22.121+02:00,   0.139E-01,  36.69556,   0.115E+04
   2800,2022-06-06T10:17:32.725+02:00,   0.145E-01,  38.11849,   0.119E+04
   2900,2022-06-06T10:17:43.273+02:00,   0.124E-01,  39.45447,   0.124E+04
   3000,2022-06-06T10:17:53.828+02:00,   0.142E-01,  40.88888,   0.128E+04
   3100,2022-06-06T10:18:04.365+02:00,   0.142E-01,  42.31183,   0.132E+04
   3200,2022-06-06T10:18:14.834+02:00,   0.138E-01,  43.75490,   0.136E+04
   3300,2022-06-06T10:18:25.402+02:00,   0.128E-01,  45.07864,   0.140E+04
   3400,2022-06-06T10:18:35.879+02:00,   0.152E-01,  46.48419,   0.145E+04
   3500,2022-06-06T10:18:46.345+02:00,   0.137E-01,  47.89237,   0.149E+04
   3600,2022-06-06T10:18:56.869+02:00,   0.133E-01,  49.29987,   0.153E+04
   3700,2022-06-06T10:19:07.345+02:00,   0.159E-01,  50.78348,   0.157E+04
   3800,2022-06-06T10:19:17.921+02:00,   0.148E-01,  52.24602,   0.161E+04
   3900,2022-06-06T10:19:28.447+02:00,   0.143E-01,  53.69643,   0.166E+04
   4000,2022-06-06T10:19:38.994+02:00,   0.152E-01,  55.16983,   0.170E+04
   4100,2022-06-06T10:19:49.496+02:00,   0.149E-01,  56.63500,   0.174E+04
   4200,2022-06-06T10:20:00.128+02:00,   0.141E-01,  57.96156,   0.178E+04
   4300,2022-06-06T10:20:10.688+02:00,   0.152E-01,  59.40567,   0.182E+04
   4400,2022-06-06T10:20:21.178+02:00,   0.147E-01,  60.89985,   0.187E+04
   4500,2022-06-06T10:20:31.776+02:00,   0.146E-01,  62.30942,   0.191E+04
   4600,2022-06-06T10:20:42.364+02:00,   0.128E-01,  63.72513,   0.195E+04
   4700,2022-06-06T10:20:53.153+02:00,   0.138E-01,  65.08659,   0.199E+04
   4800,2022-06-06T10:21:03.781+02:00,   0.136E-01,  66.48194,   0.204E+04
   4900,2022-06-06T10:21:14.218+02:00,   0.146E-01,  67.92563,   0.208E+04
   5000,2022-06-06T10:21:24.723+02:00,   0.157E-01,  69.35936,   0.212E+04
   5100,2022-06-06T10:21:35.305+02:00,   0.141E-01,  70.79772,   0.216E+04
   5200,2022-06-06T10:21:45.811+02:00,   0.149E-01,  72.18521,   0.220E+04
   5300,2022-06-06T10:21:56.261+02:00,   0.139E-01,  73.61115,   0.225E+04
   5400,2022-06-06T10:22:06.758+02:00,   0.151E-01,  75.07630,   0.229E+04
   5500,2022-06-06T10:22:17.277+02:00,   0.160E-01,  76.63875,   0.233E+04
   5600,2022-06-06T10:22:27.797+02:00,   0.149E-01,  78.09457,   0.237E+04
   5700,2022-06-06T10:22:38.282+02:00,   0.149E-01,  79.58768,   0.241E+04
   5800,2022-06-06T10:22:48.715+02:00,   0.140E-01,  80.99605,   0.246E+04
   5900,2022-06-06T10:22:59.138+02:00,   0.130E-01,  82.36559,   0.250E+04
   6000,2022-06-06T10:23:09.682+02:00,   0.134E-01,  83.77419,   0.254E+04
   6100,2022-06-06T10:23:20.170+02:00,   0.154E-01,  85.17374,   0.258E+04
   6200,2022-06-06T10:23:30.566+02:00,   0.150E-01,  86.61669,   0.262E+04
   6300,2022-06-06T10:23:41.189+02:00,   0.146E-01,  88.08746,   0.267E+04
   6400,2022-06-06T10:23:51.627+02:00,   0.143E-01,  89.52166,   0.271E+04
   6500,2022-06-06T10:24:02.831+02:00,   0.136E-01,  90.93770,   0.275E+04
   6600,2022-06-06T10:24:13.350+02:00,   0.129E-01,  92.35837,   0.279E+04
   6700,2022-06-06T10:24:24.111+02:00,   0.156E-01,  93.81637,   0.284E+04
   6800,2022-06-06T10:24:34.674+02:00,   0.135E-01,  95.38269,   0.288E+04
   6900,2022-06-06T10:24:45.201+02:00,   0.142E-01,  96.77007,   0.292E+04
   7000,2022-06-06T10:24:55.727+02:00,   0.138E-01,  98.13928,   0.296E+04
   7100,2022-06-06T10:25:06.280+02:00,   0.145E-01,  99.58270,   0.301E+04
   7200,2022-06-06T10:25:16.828+02:00,   0.131E-01, 101.01664,   0.305E+04
   7300,2022-06-06T10:25:27.252+02:00,   0.144E-01, 102.42870,   0.309E+04
   7400,2022-06-06T10:25:37.834+02:00,   0.137E-01, 103.83240,   0.313E+04
   7500,2022-06-06T10:25:48.248+02:00,   0.147E-01, 105.25107,   0.317E+04
   7600,2022-06-06T10:25:58.645+02:00,   0.147E-01, 106.71664,   0.322E+04
   7700,2022-06-06T10:26:09.148+02:00,   0.153E-01, 108.21645,   0.326E+04
   7800,2022-06-06T10:26:19.688+02:00,   0.170E-01, 109.74253,   0.330E+04
   7900,2022-06-06T10:26:30.229+02:00,   0.143E-01, 111.23951,   0.334E+04
   8000,2022-06-06T10:26:40.727+02:00,   0.151E-01, 112.75235,   0.338E+04
   8100,2022-06-06T10:26:51.241+02:00,   0.157E-01, 114.22617,   0.343E+04
   8200,2022-06-06T10:27:01.707+02:00,   0.136E-01, 115.67797,   0.347E+04
   8300,2022-06-06T10:27:12.200+02:00,   0.130E-01, 117.09966,   0.351E+04
   8400,2022-06-06T10:27:22.673+02:00,   0.139E-01, 118.48008,   0.355E+04
   8500,2022-06-06T10:27:33.159+02:00,   0.149E-01, 119.88034,   0.359E+04
   8509,2022-06-06T10:27:34.099+02:00,   0.555E-03, 120.00000,   0.360E+04
