,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-06-06T10:12:36.506+02:00,   0.463E-01,   0.04629,   0.964E+01
      2,2022-06-06T10:12:36.597+02:00,   0.463E-01,   0.09258,   0.100E+02
      3,2022-06-06T10:12:36.724+02:00,   0.463E-01,   0.13887,   0.105E+02
      4,2022-06-06T10:12:36.813+02:00,   0.463E-01,   0.18516,   0.109E+02
      5,2022-06-06T10:12:36.974+02:00,   0.463E-01,   0.23146,   0.115E+02
      6,2022-06-06T10:12:37.102+02:00,   0.463E-01,   0.27775,   0.120E+02
      7,2022-06-06T10:12:37.194+02:00,   0.463E-01,   0.32404,   0.123E+02
      8,2022-06-06T10:12:37.284+02:00,   0.463E-01,   0.37033,   0.127E+02
      9,2022-06-06T10:12:37.407+02:00,   0.463E-01,   0.41662,   0.132E+02
     10,2022-06-06T10:12:37.497+02:00,   0.463E-01,   0.46291,   0.136E+02
     20,2022-06-06T10:12:38.542+02:00,   0.334E-01,   0.90807,   0.178E+02
     30,2022-06-06T10:12:39.647+02:00,   0.172E-01,   1.11880,   0.221E+02
     40,2022-06-06T10:12:40.699+02:00,   0.151E-01,   1.26995,   0.264E+02
     50,2022-06-06T10:12:41.735+02:00,   0.151E-01,   1.42110,   0.305E+02
     60,2022-06-06T10:12:42.900+02:00,   0.128E-01,   1.55604,   0.352E+02
     70,2022-06-06T10:12:44.168+02:00,   0.128E-01,   1.68403,   0.402E+02
     80,2022-06-06T10:12:45.249+02:00,   0.112E-01,   1.80576,   0.445E+02
     90,2022-06-06T10:12:46.322+02:00,   0.112E-01,   1.91810,   0.488E+02
    100,2022-06-06T10:12:47.361+02:00,   0.112E-01,   2.03044,   0.529E+02
    200,2022-06-06T10:12:57.771+02:00,   0.121E-01,   3.21386,   0.945E+02
    300,2022-06-06T10:13:08.378+02:00,   0.129E-01,   4.44275,   0.137E+03
    400,2022-06-06T10:13:18.899+02:00,   0.114E-01,   5.69454,   0.179E+03
    500,2022-06-06T10:13:29.366+02:00,   0.134E-01,   6.92546,   0.221E+03
    600,2022-06-06T10:13:39.948+02:00,   0.131E-01,   8.27736,   0.263E+03
    700,2022-06-06T10:13:50.551+02:00,   0.136E-01,   9.63021,   0.305E+03
