s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-7.1521122E-005,-2.5681310E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1521378E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0754480E+000
 1.3455253E+000, 7.5544187E+000,-1.5798316E+000,-8.4069831E-004,-1.0220589E-001,-8.6820001E-004, 2.2828898E+000, 0.0000000E+000, 7.7931275E+000, 8.1535621E+000, 0.0000000E+000, 1.5747837E-004, 0.0000000E+000, 3.2697517E+002
 2.6699929E+000, 1.3626209E+001,-2.4584137E+000,-1.5182779E-003,-1.9987543E-001,-1.5307488E-003, 4.3978220E+000, 0.0000000E+000, 1.5342628E+001, 1.5362693E+001, 0.0000000E+000, 2.7487897E-004, 0.0000000E+000, 9.4706643E+002
 4.0018511E+000, 1.4348740E+001,-2.6095315E+000,-1.5823977E-003,-4.3696047E-001,-1.6017940E-003, 4.5523450E+000, 0.0000000E+000, 1.5855274E+001, 1.5851409E+001, 0.0000000E+000, 2.8698984E-004, 0.0000000E+000, 1.5932245E+003
 5.3339038E+000, 1.4398421E+001,-2.6575061E+000,-1.5885245E-003,-1.0348221E+000,-1.6055918E-003, 4.3178037E+000, 0.0000000E+000, 1.5021283E+001, 1.5020702E+001, 0.0000000E+000, 2.8787405E-004, 0.0000000E+000, 2.2061064E+003
 6.6708984E+000, 1.4451728E+001,-2.7225477E+000,-1.5747145E-003,-1.2838202E+000,-1.6195238E-003, 4.2125813E+000, 0.0000000E+000, 1.4656250E+001, 1.4654747E+001, 0.0000000E+000, 2.8793580E-004, 0.0000000E+000, 2.8062741E+003
 8.0022831E+000, 1.4346406E+001,-2.7190638E+000,-1.5708268E-003,-1.4893861E+000,-1.6242166E-003, 4.0934200E+000, 0.0000000E+000, 1.4229231E+001, 1.4228182E+001, 0.0000000E+000, 2.8794009E-004, 0.0000000E+000, 3.3870767E+003
 9.3442497E+000, 1.4419641E+001,-2.8049820E+000,-1.5736422E-003,-1.4903757E+000,-1.6217144E-003, 4.0805675E+000, 0.0000000E+000, 1.4200680E+001, 1.4201655E+001, 0.0000000E+000, 2.8794039E-004, 0.0000000E+000, 3.9705494E+003
 1.0671029E+001, 1.4411983E+001,-2.8187804E+000,-1.5766958E-003,-1.5369041E+000,-1.6171826E-003, 4.0570010E+000, 0.0000000E+000, 1.4112129E+001, 1.4110106E+001, 0.0000000E+000, 2.8794041E-004, 0.0000000E+000, 4.5441361E+003
