s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-7.1521122E-005,-2.5681310E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1521378E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0754480E+000
 1.3363998E+000, 2.3103647E+001,-5.1897598E+000,-2.8978509E-003,-2.7268106E-001,-2.4920029E-003, 6.7656247E+000, 0.0000000E+000, 2.3398903E+001, 2.4401441E+001, 0.0000000E+000, 4.8746686E-004, 0.0000000E+000, 9.4864306E+002
 2.6700132E+000, 4.2610248E+001,-7.9213680E+000,-5.0808746E-003,-8.1483155E-001,-4.4188934E-003, 1.3564548E+001, 0.0000000E+000, 4.7430347E+001, 4.7429097E+001, 0.0000000E+000, 8.5639221E-004, 0.0000000E+000, 2.8754103E+003
 4.0054836E+000, 4.4755664E+001,-8.3860136E+000,-5.3075262E-003,-2.6935236E+000,-4.6244197E-003, 1.3605615E+001, 0.0000000E+000, 4.7270060E+001, 4.7271809E+001, 0.0000000E+000, 8.9484336E-004, 0.0000000E+000, 4.8114477E+003
 5.3348613E+000, 4.4991484E+001,-8.6342714E+000,-5.2923372E-003,-3.1036156E+000,-4.6675520E-003, 1.3370959E+001, 0.0000000E+000, 4.6632313E+001, 4.6614597E+001, 0.0000000E+000, 8.9760754E-004, 0.0000000E+000, 6.7056093E+003
 6.6751599E+000, 4.4939479E+001,-8.7930708E+000,-5.3003671E-003,-4.3230389E+000,-4.6609134E-003, 1.2812022E+001, 0.0000000E+000, 4.4620059E+001, 4.4625430E+001, 0.0000000E+000, 8.9779981E-004, 0.0000000E+000, 8.5352586E+003
 8.0084133E+000, 4.4766540E+001,-8.8888718E+000,-5.3038147E-003,-4.4223928E+000,-4.6622496E-003, 1.2656052E+001, 0.0000000E+000, 4.4129178E+001, 4.4101361E+001, 0.0000000E+000, 8.9781321E-004, 0.0000000E+000, 1.0333619E+004
 9.3375387E+000, 4.4987976E+001,-9.1869633E+000,-5.3205856E-003,-5.1332851E+000,-4.6470594E-003, 1.2316207E+001, 0.0000000E+000, 4.2983952E+001, 4.2973967E+001, 0.0000000E+000, 8.9781413E-004, 0.0000000E+000, 1.2077962E+004
 1.0669436E+001, 4.4852550E+001,-9.4038436E+000,-5.3319322E-003,-6.4636714E+000,-4.6344645E-003, 1.1636252E+001, 0.0000000E+000, 4.0613086E+001, 4.0611320E+001, 0.0000000E+000, 8.9781419E-004, 0.0000000E+000, 1.3729293E+004
