s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s
Time,"T-1","V-1","T-2","V-2","T-3","V-3","T-4","V-4","T-5","V-5","T-6","V-6","T-7","V-7","T-8","V-8","T-9","V-9","T-10","V-10","T-11","V-11","T-12","V-12","T-13","V-13","T-14","V-14","T-15","V-15","T-16","V-16","T-17","V-17"
 0.0000000E+000, 2.0000000E+001, 3.7817402E-003, 2.0000000E+001, 9.4756340E-003, 2.0000000E+001, 4.0569399E-003, 2.0000000E+001, 3.8948375E-004, 2.0000000E+001, 6.1498287E-003, 2.0000000E+001, 6.2855519E-003, 2.0000000E+001, 4.1345172E-003, 2.0000000E+001, 9.5213566E-003, 2.0000000E+001, 8.1862431E-003, 2.0000000E+001, 4.5107108E-003, 2.0000000E+001, 1.0303454E-002, 2.0000000E+001, 8.1185274E-003, 2.0000000E+001, 8.6018875E-003, 2.0000000E+001, 6.8971762E-003, 2.0000000E+001, 3.8847160E-003, 2.0000000E+001, 5.8820645E-003, 2.0000000E+001, 1.0300962E-002
 1.3363997E+000, 5.5913958E+002, 3.4696096E-001, 5.1432691E+002, 9.0066740E-001, 4.5390553E+002, 1.2378538E+000, 4.0730256E+002, 1.4279594E+000, 3.5989867E+002, 1.5269413E+000, 3.1111417E+002, 1.5548077E+000, 2.5578192E+002, 1.5324680E+000, 2.0816719E+002, 1.4787079E+000, 1.6630854E+002, 1.4057251E+000, 1.3828724E+002, 1.3240490E+000, 1.1820411E+002, 1.2393593E+000, 1.0362340E+002, 1.1437256E+000, 9.3601094E+001, 1.0407455E+000, 8.2868165E+001, 9.4839474E-001, 7.6818664E+001, 8.5272367E-001, 6.8006966E+001, 7.5071223E-001, 6.2047509E+001, 6.5165133E-001
 2.6700131E+000, 9.7242488E+002, 6.8227407E-001, 1.0215020E+003, 1.8563057E+000, 1.0757286E+003, 2.7378655E+000, 1.1245273E+003, 3.4047581E+000, 1.1670805E+003, 3.9457409E+000, 1.2017630E+003, 4.4175418E+000, 1.2042820E+003, 4.8251065E+000, 1.1732709E+003, 5.1455159E+000, 1.1076154E+003, 5.3839378E+000, 1.0299883E+003, 5.5659834E+000, 9.4435536E+002, 5.7059499E+000, 8.6128967E+002, 5.8072455E+000, 7.8248254E+002, 5.8750195E+000, 7.0856931E+002, 5.9030761E+000, 6.3817716E+002, 5.9014758E+000, 5.7486531E+002, 5.8883006E+000, 5.1801793E+002, 5.8606853E+000
 4.0054837E+000, 1.0381070E+003, 7.5578384E-001, 1.0790805E+003, 1.8418999E+000, 1.1036063E+003, 2.6762710E+000, 1.1087118E+003, 3.3089448E+000, 1.0829901E+003, 3.7971463E+000, 1.0270815E+003, 4.1300156E+000, 9.3862969E+002, 4.3385678E+000, 8.3459236E+002, 4.4702680E+000, 7.3902516E+002, 4.5355333E+000, 6.6637151E+002, 4.5736566E+000, 6.0948420E+002, 4.5997253E+000, 5.5789863E+002, 4.6239699E+000, 5.0942067E+002, 4.6302503E+000, 4.6321889E+002, 4.6121410E+000, 4.1621563E+002, 4.5709887E+000, 3.7149386E+002, 4.4717664E+000, 3.3263483E+002, 4.3042901E+000
 5.3348615E+000, 1.0449893E+003, 7.2323466E-001, 1.0798732E+003, 1.8533219E+000, 1.1131564E+003, 2.7060736E+000, 1.1275539E+003, 3.3340365E+000, 1.1112245E+003, 3.8046521E+000, 1.0415833E+003, 4.1364179E+000, 9.2254244E+002, 4.3252214E+000, 7.8202923E+002, 4.3938965E+000, 6.4998641E+002, 4.3833938E+000, 5.3928380E+002, 4.3049545E+000, 4.5832470E+002, 4.1927781E+000, 4.0045372E+002, 4.0722491E+000, 3.5390849E+002, 3.9416495E+000, 3.1525703E+002, 3.8134259E+000, 2.8382432E+002, 3.6848487E+000, 2.5624647E+002, 3.5656388E+000, 2.3321431E+002, 3.4566023E+000
 6.6751601E+000, 9.9954726E+002, 6.9238636E-001, 1.0430314E+003, 1.8079883E+000, 1.0919336E+003, 2.6555363E+000, 1.1166360E+003, 3.2755570E+000, 1.1015440E+003, 3.7677239E+000, 1.0257544E+003, 4.1044607E+000, 9.0927613E+002, 4.2867770E+000, 7.5986177E+002, 4.3797756E+000, 6.3105734E+002, 4.3402002E+000, 5.3438697E+002, 4.2678349E+000, 4.6343613E+002, 4.1860632E+000, 4.0572514E+002, 4.0706025E+000, 3.5902898E+002, 3.9668223E+000, 3.2208163E+002, 3.9404517E+000, 2.8956464E+002, 3.8970965E+000, 2.6567441E+002, 3.8045724E+000, 2.4141477E+002, 3.7149539E+000
 8.0084137E+000, 1.0427729E+003, 7.3382231E-001, 1.0761569E+003, 1.8315355E+000, 1.1078427E+003, 2.6832149E+000, 1.1261102E+003, 3.3425961E+000, 1.1126695E+003, 3.8323201E+000, 1.0529251E+003, 4.1875798E+000, 9.5386991E+002, 4.4099087E+000, 8.3640061E+002, 4.4970126E+000, 7.1720050E+002, 4.5003064E+000, 6.0520735E+002, 4.4453268E+000, 5.0660416E+002, 4.3278171E+000, 4.3214896E+002, 4.1966756E+000, 3.7253790E+002, 4.0563240E+000, 3.2739581E+002, 3.9031391E+000, 2.8876751E+002, 3.7838846E+000, 2.5984537E+002, 3.6866844E+000, 2.3812506E+002, 3.5975318E+000
 9.3375385E+000, 1.0190402E+003, 6.9540396E-001, 1.0606818E+003, 1.8154703E+000, 1.1020593E+003, 2.6760920E+000, 1.1339242E+003, 3.3332932E+000, 1.1573126E+003, 3.8667569E+000, 1.1370872E+003, 4.2799117E+000, 1.0592235E+003, 4.5693814E+000, 9.5295538E+002, 4.7706543E+000, 8.3550750E+002, 4.8941929E+000, 7.3998866E+002, 4.9405881E+000, 6.5082815E+002, 4.9498103E+000, 5.6795619E+002, 4.9347163E+000, 4.8495745E+002, 4.8594549E+000, 4.1510989E+002, 4.7025308E+000, 3.5460656E+002, 4.4694740E+000, 3.1428286E+002, 4.2124491E+000, 2.8123570E+002, 3.9702803E+000
 1.0669436E+001, 1.0170877E+003, 6.8084451E-001, 1.0563912E+003, 1.7937692E+000, 1.0979639E+003, 2.6340397E+000, 1.1179764E+003, 3.2547434E+000, 1.1023288E+003, 3.7285950E+000, 1.0347121E+003, 4.0916987E+000, 9.2383694E+002, 4.3478334E+000, 7.9696933E+002, 4.4911732E+000, 6.8444678E+002, 4.5356921E+000, 5.8746413E+002, 4.5143778E+000, 5.1297329E+002, 4.4350877E+000, 4.5132160E+002, 4.3397770E+000, 3.9848246E+002, 4.2456344E+000, 3.4225130E+002, 4.1268371E+000, 2.9919602E+002, 4.0068949E+000, 2.6499637E+002, 3.8797505E+000, 2.4080967E+002, 3.7249068E+000
 1.2001508E+001, 1.0391102E+003, 6.7844810E-001, 1.0700226E+003, 1.7944543E+000, 1.0961379E+003, 2.6289073E+000, 1.1004037E+003, 3.2582694E+000, 1.0652821E+003, 3.7371026E+000, 9.8680268E+002, 4.0582271E+000, 8.9163652E+002, 4.2500904E+000, 7.9290579E+002, 4.3572960E+000, 7.0370515E+002, 4.4256139E+000, 6.2401510E+002, 4.4687239E+000, 5.5668716E+002, 4.4937404E+000, 4.9466293E+002, 4.4928494E+000, 4.4580903E+002, 4.4625660E+000, 4.0603007E+002, 4.4226851E+000, 3.7601768E+002, 4.3759942E+000, 3.4249904E+002, 4.3145829E+000, 3.1449127E+002, 4.2408492E+000
 1.3335017E+001, 1.0458822E+003, 7.0283326E-001, 1.0764451E+003, 1.7947965E+000, 1.1065128E+003, 2.6162964E+000, 1.1184201E+003, 3.2313892E+000, 1.1068089E+003, 3.7207245E+000, 1.0512353E+003, 4.0720589E+000, 9.4700510E+002, 4.2789377E+000, 8.2117473E+002, 4.3944239E+000, 7.0344946E+002, 4.4446891E+000, 5.9251004E+002, 4.4475516E+000, 5.0389216E+002, 4.4058952E+000, 4.4023204E+002, 4.3293595E+000, 3.9022517E+002, 4.2426790E+000, 3.5298354E+002, 4.1526070E+000, 3.2230705E+002, 4.0576750E+000, 2.9762523E+002, 3.9683228E+000, 2.7745604E+002, 3.8966368E+000
 1.4666871E+001, 1.0491538E+003, 6.7308186E-001, 1.0766883E+003, 1.7811017E+000, 1.1005021E+003, 2.6053673E+000, 1.1031692E+003, 3.2166614E+000, 1.0677659E+003, 3.6658979E+000, 9.7984161E+002, 3.9693815E+000, 8.6802430E+002, 4.1535415E+000, 7.5829096E+002, 4.2437557E+000, 6.6173389E+002, 4.2682239E+000, 5.8107567E+002, 4.2576681E+000, 5.1232468E+002, 4.2217970E+000, 4.5748769E+002, 4.1650747E+000, 4.1233761E+002, 4.0968887E+000, 3.7396319E+002, 4.0306022E+000, 3.4232926E+002, 3.9642072E+000, 3.1633456E+002, 3.8897015E+000, 2.9347377E+002, 3.8133396E+000
 1.6006918E+001, 1.0398965E+003, 7.7360099E-001, 1.0670633E+003, 1.7749318E+000, 1.0751364E+003, 2.5581785E+000, 1.0709116E+003, 3.1486741E+000, 1.0598395E+003, 3.6157597E+000, 1.0206174E+003, 3.9730699E+000, 9.4692263E+002, 4.2129102E+000, 8.4569291E+002, 4.3598441E+000, 7.4504902E+002, 4.4295410E+000, 6.5640368E+002, 4.4473592E+000, 5.8664819E+002, 4.4363498E+000, 5.2217437E+002, 4.4013432E+000, 4.7050722E+002, 4.3444085E+000, 4.2155478E+002, 4.2809780E+000, 3.8413969E+002, 4.2270426E+000, 3.5539060E+002, 4.1796120E+000, 3.3372524E+002, 4.1315166E+000
 1.7341014E+001, 1.0385626E+003, 6.9524860E-001, 1.0641256E+003, 1.7516352E+000, 1.0753651E+003, 2.5432456E+000, 1.0674607E+003, 3.1234225E+000, 1.0066690E+003, 3.5064743E+000, 8.9906600E+002, 3.7026624E+000, 7.7840275E+002, 3.7759192E+000, 6.6827523E+002, 3.7803952E+000, 5.7793749E+002, 3.7625295E+000, 5.0508500E+002, 3.7448551E+000, 4.4755395E+002, 3.7191651E+000, 4.0405875E+002, 3.6920443E+000, 3.7203120E+002, 3.6685346E+000, 3.4471129E+002, 3.6423043E+000, 3.1866334E+002, 3.5826314E+000, 2.9050343E+002, 3.4916293E+000, 2.6476819E+002, 3.3910546E+000
 1.8667557E+001, 1.0500045E+003, 7.2507001E-001, 1.0841128E+003, 1.7692139E+000, 1.1169130E+003, 2.5571159E+000, 1.1260728E+003, 3.1475007E+000, 1.0847933E+003, 3.5797635E+000, 9.8407143E+002, 3.8475563E+000, 8.6640740E+002, 4.0017997E+000, 7.5644015E+002, 4.0866177E+000, 6.6067997E+002, 4.1286073E+000, 5.7691449E+002, 4.1321035E+000, 5.0876435E+002, 4.1090488E+000, 4.5518197E+002, 4.0618620E+000, 4.0972339E+002, 3.9842423E+000, 3.6947137E+002, 3.8868415E+000, 3.4043163E+002, 3.7839576E+000, 3.1744149E+002, 3.6861629E+000, 2.9925594E+002, 3.5936140E+000
 2.0007451E+001, 1.0435366E+003, 7.5490035E-001, 1.0160386E+003, 1.6991326E+000, 9.4543049E+002, 2.3198903E+000, 8.7349091E+002, 2.6816796E+000, 7.8550303E+002, 2.9112290E+000, 6.8899023E+002, 3.0710967E+000, 5.9944598E+002, 3.1521068E+000, 5.2304100E+002, 3.2013521E+000, 4.5234182E+002, 3.2026506E+000, 3.8879664E+002, 3.1568079E+000, 3.3311625E+002, 3.1007512E+000, 2.8968276E+002, 3.0009427E+000, 2.5698699E+002, 2.8834875E+000, 2.3029825E+002, 2.8033854E+000, 2.1106372E+002, 2.7446853E+000, 1.9825395E+002, 2.6703678E+000, 1.8939048E+002, 2.5702126E+000
 2.1338815E+001, 1.0579940E+003, 6.8806239E-001, 1.0786453E+003, 1.7490452E+000, 1.0805043E+003, 2.5139780E+000, 1.0691378E+003, 3.0875034E+000, 1.0089566E+003, 3.4848680E+000, 9.0024668E+002, 3.7087063E+000, 7.7830843E+002, 3.8047154E+000, 6.7592347E+002, 3.8374615E+000, 5.8428850E+002, 3.8542113E+000, 5.1064350E+002, 3.8492881E+000, 4.4972960E+002, 3.7848446E+000, 3.9775260E+002, 3.6792336E+000, 3.5356594E+002, 3.5673625E+000, 3.2080198E+002, 3.4422621E+000, 2.9144723E+002, 3.3134620E+000, 2.7040850E+002, 3.1928208E+000, 2.5341851E+002, 3.1173430E+000
 2.2672542E+001, 1.0691529E+003, 7.3230363E-001, 1.0818077E+003, 1.7206583E+000, 1.0551979E+003, 2.4464142E+000, 9.8917889E+002, 2.9057674E+000, 8.8580736E+002, 3.1407933E+000, 7.5625416E+002, 3.2341946E+000, 6.2134237E+002, 3.2261064E+000, 5.0740627E+002, 3.1396954E+000, 4.3218109E+002, 3.0151166E+000, 3.7841481E+002, 2.8779172E+000, 3.4201741E+002, 2.7770769E+000, 3.1688108E+002, 2.7276501E+000, 2.9702558E+002, 2.6982211E+000, 2.7664806E+002, 2.6875328E+000, 2.5938229E+002, 2.6967603E+000, 2.4490313E+002, 2.6851598E+000, 2.3219641E+002, 2.6430275E+000
 2.4000090E+001, 1.1067567E+003, 7.0373328E-001, 1.1312084E+003, 1.7852174E+000, 1.1455902E+003, 2.5666927E+000, 1.1540541E+003, 3.1437407E+000, 1.1378657E+003, 3.5898552E+000, 1.0702827E+003, 3.9157391E+000, 9.6897727E+002, 4.1050388E+000, 8.5641730E+002, 4.1794428E+000, 7.4949543E+002, 4.1756675E+000, 6.5046577E+002, 4.1284608E+000, 5.6217663E+002, 4.0460735E+000, 4.8421666E+002, 3.9232054E+000, 4.2176455E+002, 3.7617167E+000, 3.6564592E+002, 3.5943386E+000, 3.2001808E+002, 3.4228465E+000, 2.8116681E+002, 3.2146635E+000, 2.5017543E+002, 2.9455865E+000
 2.5337234E+001, 1.0899626E+003, 7.5747908E-001, 1.0900440E+003, 1.7265136E+000, 1.0494974E+003, 2.4114306E+000, 9.8822515E+002, 2.8597029E+000, 8.9110505E+002, 3.1216803E+000, 7.8151494E+002, 3.2572862E+000, 6.8353057E+002, 3.3424409E+000, 6.0333420E+002, 3.3896390E+000, 5.3690474E+002, 3.3757050E+000, 4.8914099E+002, 3.3860697E+000, 4.5772994E+002, 3.4353426E+000, 4.2961149E+002, 3.4745931E+000, 3.9857523E+002, 3.4944223E+000, 3.6656358E+002, 3.4691036E+000, 3.3341975E+002, 3.3994748E+000, 3.0118997E+002, 3.3045928E+000, 2.7548246E+002, 3.1764211E+000
 2.6674313E+001, 1.0910862E+003, 7.7203469E-001, 1.1114029E+003, 1.7731272E+000, 1.1011873E+003, 2.4642057E+000, 1.0397036E+003, 2.9343979E+000, 9.4601920E+002, 3.2046136E+000, 8.3441084E+002, 3.3236137E+000, 7.0174713E+002, 3.3230204E+000, 5.7938227E+002, 3.2529780E+000, 4.8383251E+002, 3.1559677E+000, 4.1230030E+002, 3.0150402E+000, 3.5740611E+002, 2.8592059E+000, 3.1495749E+002, 2.7187178E+000, 2.8372278E+002, 2.6141303E+000, 2.6198727E+002, 2.5451442E+000, 2.4417896E+002, 2.4420289E+000, 2.3076523E+002, 2.3312225E+000, 2.2004524E+002, 2.2426395E+000
 2.8005766E+001, 1.0641233E+003, 6.9781733E-001, 1.0828819E+003, 1.7031889E+000, 1.0888796E+003, 2.4639762E+000, 1.0665202E+003, 2.9997146E+000, 9.7688755E+002, 3.3072446E+000, 8.4416900E+002, 3.4503875E+000, 7.1446474E+002, 3.5016219E+000, 6.0329824E+002, 3.4901862E+000, 5.1684619E+002, 3.4386219E+000, 4.5469817E+002, 3.3542381E+000, 4.0757912E+002, 3.2541284E+000, 3.7275977E+002, 3.1722245E+000, 3.4598137E+002, 3.0956496E+000, 3.2466137E+002, 3.0158582E+000, 3.0711742E+002, 2.9667004E+000, 2.9019644E+002, 2.9495883E+000, 2.7288912E+002, 2.9410924E+000
 2.9339592E+001, 1.0973604E+003, 7.1333165E-001, 1.1280482E+003, 1.7491871E+000, 1.1446932E+003, 2.4937832E+000, 1.1302273E+003, 3.0285980E+000, 1.0745854E+003, 3.4132005E+000, 9.8015698E+002, 3.6590948E+000, 8.6990116E+002, 3.7925470E+000, 7.5889059E+002, 3.8386528E+000, 6.6275918E+002, 3.8219699E+000, 5.7840662E+002, 3.7617338E+000, 5.0386852E+002, 3.6682340E+000, 4.4402694E+002, 3.5677533E+000, 4.0480864E+002, 3.4826412E+000, 3.7549890E+002, 3.4162225E+000, 3.5468098E+002, 3.3656891E+000, 3.3938663E+002, 3.3376408E+000, 3.2665087E+002, 3.3180563E+000
 3.0669765E+001, 1.0429887E+003, 7.7767299E-001, 1.0718294E+003, 1.6447661E+000, 1.0651461E+003, 2.3115827E+000, 1.0191665E+003, 2.7717897E+000, 9.2263927E+002, 3.0316516E+000, 7.9654628E+002, 3.1474409E+000, 6.8041339E+002, 3.1645946E+000, 5.8052615E+002, 3.1305485E+000, 5.0945708E+002, 3.0786421E+000, 4.5521877E+002, 3.0284814E+000, 4.1718678E+002, 2.9733321E+000, 3.8542543E+002, 2.9328629E+000, 3.6294787E+002, 2.9204555E+000, 3.4026836E+002, 2.9362752E+000, 3.2336330E+002, 2.9528984E+000, 3.0522213E+002, 2.9545078E+000, 2.9236842E+002, 2.9400109E+000
 3.2002942E+001, 1.0857245E+003, 7.2207238E-001, 1.1139897E+003, 1.7057958E+000, 1.1248641E+003, 2.4253057E+000, 1.1047546E+003, 2.9212635E+000, 1.0173891E+003, 3.2468969E+000, 8.6644619E+002, 3.3758564E+000, 7.2046691E+002, 3.3800148E+000, 5.9992518E+002, 3.3048533E+000, 5.0143093E+002, 3.1791550E+000, 4.2598013E+002, 3.0407147E+000, 3.7867510E+002, 2.9537702E+000, 3.5293423E+002, 2.9570742E+000, 3.3454533E+002, 3.0082293E+000, 3.2086985E+002, 3.0250913E+000, 3.0602727E+002, 3.0145686E+000, 2.9133666E+002, 3.0040590E+000, 2.7800780E+002, 2.9823210E+000
 3.3333681E+001, 1.1324709E+003, 7.5811401E-001, 1.1249780E+003, 1.6732480E+000, 1.0983187E+003, 2.3431290E+000, 1.0193687E+003, 2.8286823E+000, 8.9371895E+002, 3.0393263E+000, 7.5725215E+002, 3.1133247E+000, 6.2431524E+002, 3.0861177E+000, 5.1287046E+002, 2.9616556E+000, 4.2604253E+002, 2.7997187E+000, 3.5942458E+002, 2.6208140E+000, 3.1211283E+002, 2.4310857E+000, 2.8116525E+002, 2.2303319E+000, 2.6175096E+002, 2.0838075E+000, 2.4565771E+002, 1.9688961E+000, 2.3316124E+002, 1.8674268E+000, 2.2106805E+002, 1.8207644E+000, 2.0930249E+002, 1.8230767E+000
 3.4670065E+001, 1.0655929E+003, 8.0114645E-001, 1.0512472E+003, 1.6291850E+000, 9.8440143E+002, 2.2444389E+000, 9.1458980E+002, 2.6714444E+000, 8.1618774E+002, 2.9523037E+000, 7.0856601E+002, 3.1101885E+000, 6.1855207E+002, 3.1596057E+000, 5.4770133E+002, 3.1540233E+000, 4.8361734E+002, 3.1416309E+000, 4.2842393E+002, 3.0962907E+000, 3.8394464E+002, 3.0117250E+000, 3.4993450E+002, 2.9101108E+000, 3.1685156E+002, 2.7967849E+000, 2.9214805E+002, 2.6564664E+000, 2.7399518E+002, 2.5023689E+000, 2.5780577E+002, 2.3110989E+000, 2.4120465E+002, 2.1177515E+000
 3.6001906E+001, 9.8589255E+002, 7.8987805E-001, 8.7958594E+002, 1.3894231E+000, 7.9135135E+002, 1.7969708E+000, 6.8528527E+002, 1.9781100E+000, 5.7348118E+002, 2.0590925E+000, 4.8138546E+002, 2.0911289E+000, 4.2275363E+002, 2.1247661E+000, 3.8103676E+002, 2.1512017E+000, 3.4547530E+002, 2.1885083E+000, 3.1822342E+002, 2.1864969E+000, 2.9112909E+002, 2.1913567E+000, 2.6747081E+002, 2.2240811E+000, 2.5832163E+002, 2.2263539E+000, 2.5589843E+002, 2.2242913E+000, 2.5264483E+002, 2.2656416E+000, 2.5223619E+002, 2.3374283E+000, 2.5427590E+002, 2.4321663E+000
